CALLSIGN,FREQ,SITENAME,SITELOC,ST,LAT,LON,PWR,STATUS,WFO,COUNTY
WWF97,162.475,Mt. Ashland,Ashland,CA,42.081111,-122.716111,100,NORMAL,Medford|OR,Siskiyou|Jackson|Josephine|Klamath
WWF98,162.525,Prescott,Mingus Mtn.,AZ,34.70121,-112.11801,100,NORMAL,Flagstaff|AZ,Coconino|Gila|Yavapai
WWF99,162.550,Window Rock,Piney Hill,AZ,35.761034,-109.167805,100,NORMAL,Flagstaff|AZ,Apache|Cibola|McKinley|San Juan
WWG20,162.450,Fernley,Virginia Peak,CA,39.754167,-119.462222,150,NORMAL,Reno|NV,Lassen|Plumas|Sierra|Churchill|Lyon|Pershing|Washoe
WWG21,162.450,Santa Ana,Beeks Place,CA,33.817639,-117.635861,100,NORMAL,San Diego|CA,Orange|Riverside|San Bernardino
WWG22,162.550,Tribune,Tribune,KS,38.456333,-101.642583,307,NORMAL,Dodge City|KS,Greeley|Hamilton|Kearny|Scott|Wichita
WWG23,162.500,La Junta,Miller Mesa,CO,37.908728,-103.437073,100,NORMAL,Pueblo|CO,Bent|Crowley|Kiowa|Las Animas|Otero
WWG24,162.425,Puget Sound Marine,Port Townsend,WA,48.016028,-122.927194,90,NORMAL,Seattle/Tacoma|WA,Clallam|Island|Jefferson|Kitsap|San Juan|Skagit|Snohomish
WWG25,162.425,Webster,Devils Lake,ND,48.194139,-98.903917,300,NORMAL,Grand Forks|ND,Benson|Cavalier|Nelson|Ramsey|Towner
WWG26,162.425,Jackson,Jackson,KY,37.5911,-83.3136,300,NORMAL,Jackson|KY,Breathitt
WWG27,162.550,South Point,South Point,HI,19.002584,-155.674811,300,NORMAL,Honolulu|HI,Hawaii
WWG28,162.525,Paintsville,Paintsville,KY,37.844594,-82.668017,100,NORMAL,Jackson|KY,Floyd|Johnson|Magoffin|Martin|Pike|Wayne
WWG32,162.425,Cattaraugus,Great Valley,NY,42.256667,-78.695,125,NORMAL,Buffalo|NY,Cattaraugus|Chautauqua
WWG33,162.450,Margarettsville,Margarettsville,NC,36.513686,-77.332105,300,NORMAL,Wakefield|VA,Bertie|Gates|Halifax|Hertford|Northampton|Brunswick|City of Emporia|City of Franklin|Greensville|Mecklenburg|Southampton|Sussex
WWG34,162.550,Brownsville,Brownsville,TX,25.910278,-97.5305,317,NORMAL,Brownsville/Rio Grande Valley|TX,Cameron|Hidalgo|Willacy
WWG36,162.450,Roswell,Roswell,NM,33.363056,-104.636389,100,OUT OF SERVICE,Albuquerque|NM,Chaves
WWG39,162.475,Soldotna,Soldotna,AK,60.48942,-151.0713,300,NORMAL,Anchorage|AK,Kenai Peninsula
WWG40,162.425,Bay City,Bay City,TX,28.980278,-95.999722,1000,NORMAL,Houston/Galveston|TX,Brazoria|Fort Bend|Matagorda|Wharton
WWG41,162.425,Payson Gila County N.,Mt. Ord,AZ,33.905088,-111.408429,150,NORMAL,Flagstaff|AZ,Coconino|Gila|Maricopa|Pinal|Yavapai
WWG42,162.500,Globe,Signal Peak,AZ,33.293056,-110.835833,70,NORMAL,Phoenix|AZ,Gila
WWG43,162.500,Glenwood Springs,Sunlight Peak,CO,39.425556,-107.379167,100,NORMAL,Grand Junction|CO,Eagle|Garfield|Pitkin
WWG44,162.425,Fowler,Olney Spring,CO,38.180278,-104.021944,100,NORMAL,Pueblo|CO,Crowley|Otero|Pueblo
WWG46,162.500,Woodward,Woodward,OK,36.389139,-99.343639,1030,NORMAL,Norman|OK,Beaver|Dewey|Ellis|Harper|Major|Woods|Woodward|Lipscomb
WWG47,162.525,Wardell,Gideon,AR,36.364222,-89.864083,1080,NORMAL,Memphis|TN,Clay|Mississippi|Dunklin|New Madrid|Pemiscot|Lake
WWG48,162.450,Doniphan,Doniphan,MO,36.658333,-90.793333,300,NORMAL,Paducah|KY,Butler|Carter|Ripley|Wayne
WWG49,162.500,Fredericktown,Fredericktown,MO,37.453806,-90.376083,1270,NORMAL,St. Louis|MO,Bollinger|Iron|Madison|Perry|Reynolds|St. Francois|Ste. Genevieve|Wayne
WWG50,162.425,St. Johnsbury,Burke Mtn.,NH,44.571111,-71.894167,300,NORMAL,Burlington|VT,Coos|Grafton|Caledonia|Essex|Orange|Orleans
WWG51,162.450,Warren,Youngsville,PA,41.745365,-79.264713,1000,NORMAL,State College|PA,Elk|Forest|McKean|Warren
WWG52,162.525,Huntingdon,Three Springs,PA,40.293735,-77.966444,1000,NORMAL,State College|PA,Bedford|Blair|Franklin|Fulton|Huntingdon|Juniata|Mifflin
WWG53,162.425,Parker,Parker,PA,41.139861,-79.754028,1000,NORMAL,Pittsburgh|PA,Armstrong|Beaver|Butler|Clarion|Crawford|Forest|Indiana|Jefferson|Lawrence|Mercer|Venango
WWG54,162.500,Yellville,Rea Valley,AR,36.202639,-92.558111,850,NORMAL,Little Rock|AR,Baxter|Marion
WWG55,162.500,La Grange,Rutersville,TX,29.951306,-96.774389,800,NORMAL,Austin/San Antonio|TX,Austin|Bastrop|Colorado|Fayette|Lee|Washington
WWG56,162.500,Youngstown,Youngstown,OH,41.058889,-80.646111,300,NORMAL,Cleveland|OH,Carroll|Columbiana|Mahoning|Portage|Stark|Trumbull|Lawrence|Mercer
WWG57,162.450,Mansfield,Butler,OH,40.582861,-82.473611,300,NORMAL,Cleveland|OH,Ashland|Crawford|Holmes|Knox|Licking|Marion|Morrow|Richland|Wayne|Wyandot
WWG59,162.400,Venice,Venice,FL,27.133056,-82.394444,1000,NORMAL,Tampa Bay Area|FL,Charlotte|DeSoto|Hardee|Manatee|Sarasota
WWG60,162.450,Tea Table Key,Tea Table Key,FL,24.8957,-80.6638,300,NORMAL,Key West|FL,Monroe
WWG61,162.550,Stanton,Rotten Point,KY,37.909089,-83.925739,300,NORMAL,Jackson|KY,Bell|Powell
WWG62,162.525,Pineville,Pineville,KY,36.730278,-83.773611,300,NORMAL,Jackson|KY,Bell
WWG63,162.475,Frenchburg,Frenchburg,KY,37.935504,-83.613547,300,NORMAL,Jackson|KY,Menifee
WWG64,162.450,McKee,McKee,KY,37.415194,-84.008669,300,NORMAL,Jackson|KY,Jackson
WWG65,162.475,London,London,KY,37.146656,-84.106809,300,NORMAL,Jackson|KY,Laurel
WWG66,162.400,Manchester,Manchester,KY,37.147486,-83.69179,300,NORMAL,Jackson|KY,Clay
WWG67,162.500,Beattyville,Bear Track,KY,37.625702,-83.77203,300,NORMAL,Jackson|KY,Lee
WWG68,162.450,Harlan,Grey's Knob,KY,36.787834,-83.290954,300,NORMAL,Jackson|KY,Harlan
WWG69,162.400,Pikeville,Pikeville,KY,37.285045,-82.524559,300,NORMAL,Jackson|KY,Floyd|Johnson|Magoffin|Martin|Pike|Buchanan|Dickenson|Wise
WWG70,162.425,Mount Vernon,Mount Vernon,KY,37.339906,-84.383093,300,NORMAL,Jackson|KY,Rockcastle
WWG71,162.400,Morehead,Morehead,KY,38.177309,-83.404723,300,NORMAL,Jackson|KY,Bath|Elliott|Fleming|Rowan
WWG72,162.500,Georgia,Georgia,IN,38.734722,-86.578611,1000,NORMAL,Indianapolis|IN,Brown|Daviess|Dubois|Greene|Lawrence|Martin|Monroe|Orange
WWG73,162.525,Seymour,Seymour,IN,38.958889,-85.878611,1000,NORMAL,Indianapolis|IN,Bartholomew|Decatur|Jackson|Jennings|Johnson|Ripley|Scott|Shelby
WWG74,162.400,Kauai,Waimea (Koke'e),HI,22.1197,-159.6672,1000,NORMAL,Honolulu|HI,Kauai
WWG75,162.400,Maui,Mt. Haleakala,HI,20.707361,-156.258611,300,NORMAL,Honolulu|HI,Hawaii|Honolulu|Maui
WWG76,162.550,Kulani Cone,Kulani Cone (Hawaii),HI,19.554529,-155.308812,1000,NORMAL,Honolulu|HI,Hawaii
WWG77,162.425,Sumter,Sumter,SC,33.881111,-80.270556,300,NORMAL,Columbia|SC,Clarendon|Lee|Sumter
WWG78,162.500,Williamsburg,Williamsburg,KY,36.671143,-84.221466,300,NORMAL,Jackson|KY,Whitley
WWG79,162.450,West Liberty,West Liberty,KY,37.941944,-83.220278,300,NORMAL,Jackson|KY,Elliott|Morgan
WWG80,162.425,Monticello,Monticello,KY,36.844729,-84.773417,300,NORMAL,Jackson|KY,Wayne
WWG81,162.500,Phelps,Dicks Knob,KY,37.500959,-82.227513,300,NORMAL,Jackson|KY,Pike|Mingo
WWG82,162.525,Robbinsville,Joanna  Bald Mtn.,NC,35.257853,-83.795475,300,NORMAL,Greenville-Spartanburg|SC,Cherokee|Clay|Graham|Jackson|Macon|Swain
WWG83,162.425,Edwardsport,Edwardsport,IN,38.8417,-87.267222,1000,NORMAL,Indianapolis|IN,Daviess|Dubois|Gibson|Greene|Knox|Pike|Sullivan
WWG84,162.500,Belgian Hill,Conrad,MT,48.33,-112.035556,100,NORMAL,Great Falls|MT,Chouteau|Glacier|Liberty|Pondera|Teton|Toole
WWG85,162.475,Malta,Malta,MT,48.3494,-107.834722,75,NORMAL,Glasgow|MT,Phillips
WWG86,162.500,Prairie Du Chien,Bloomington,IA,42.902385,-90.946542,1000,NORMAL,La Crosse|WI,Allamakee|Clayton|Fayette|Crawford|Grant
WWG87,162.500,Fond Du Lac,Fond Du Lac,WI,43.815833,-88.320278,1000,NORMAL,Milwaukee/Sullivan|WI,Calumet|Dodge|Fond du Lac|Green Lake|Manitowoc|Sheboygan|Washington|Waushara|Winnebago
WWG88,162.450,Crandon,Crandon,WI,45.572222,-88.883889,750,NORMAL,Green Bay|WI,Florence|Forest|Langlade|Marinette|Oconto|Oneida|Vilas
WWG89,162.475,Richland Center,Ash Ridge,WI,43.498889,-90.541111,200,NORMAL,La Crosse|WI,Richland|Vernon
WWG90,162.425,Janesville,Milton - Rock County,IL,42.773889,-89.005556,300,NORMAL,Milwaukee/Sullivan|WI,Boone|Stephenson|Winnebago|Dane|Green|Rock|Walworth
WWG91,162.525,Sheboygan,Sheboygan,WI,43.765556,-87.766389,200,NORMAL,Milwaukee/Sullivan|WI,Fond du Lac|Manitowoc|Ozaukee|Sheboygan|Washington
WWG92,162.525,Naples,Naples,FL,26.183111,-81.574722,1110,NORMAL,Miami|FL,Collier|Glades|Hendry|Lee|Monroe
WWG93,162.475,Junction,Junction,TX,30.478056,-99.752778,1000,NORMAL,San Angelo|TX,Kimble|Mason|Menard|Sutton
WWG94,162.525,Richland Springs,Richland Springs,TX,31.2525,-99.002778,1000,NORMAL,San Angelo|TX,Brown|Coleman|Mason|McCulloch|Mills|San Saba
WWG97,162.425,Altus,Altus,OK,34.511028,-99.333139,316,NORMAL,Norman|OK,Greer|Harmon|Jackson|Kiowa|Tillman|Hardeman|Wilbarger
WWG98,162.475,Park Rapids,Park Rapids,MN,46.984722,-95.106167,1000,NORMAL,Grand Forks|ND,Becker|Hubbard|Wadena
WWG99,162.500,Bonners Ferry,Black Mountain,ID,48.610278,-116.256667,100,NORMAL,Spokane|WA,Bonner|Boundary|Kootenai|Lincoln|Sanders|Spokane
WWH20,162.450,Westville,Westville,AL,30.8275,-85.926944,1000,NORMAL,Tallahassee|FL,Coffee|Geneva|Houston|Holmes|Jackson|Walton|Washington
WWH22,162.500,Beaumont,Beaumont,KS,37.58628,-96.54489,314,NORMAL,Wichita|KS,Butler|Chase|Chautauqua|Cowley|Elk|Greenwood
WWH23,162.425,Buchanan,Buchanan,GA,33.784,-85.161444,1030,NORMAL,Peachtree City|GA,Bartow|Carroll|Cobb|Douglas|Floyd|Haralson|Paulding|Polk
WWH24,162.425,Toccoa,Currahee Mtn.,GA,34.529444,-83.376111,100,NORMAL,Greenville-Spartanburg|SC,Banks|Franklin|Habersham|Hall|Hart|Rabun|Stephens|White|Oconee
WWH25,162.425,Metter,Metter,GA,32.394791,-82.042997,1000,NORMAL,Charleston|SC,Bulloch|Candler|Evans|Jenkins|Montgomery|Screven|Tattnall|Toombs|Treutlen
WWH26,162.425,Mamie,Mamie,NC,36.1358,-75.8242,300,NORMAL,Newport/Morehead City|NC,Camden|Currituck|Dare|Pasquotank
WWH27,162.425,Plymouth,Sillusi Butte,OR,45.980333,-119.295861,100,NORMAL,Pendleton|OR,Morrow|Umatilla
WWH28,162.425,Heppner,Robinson Hill,OR,45.350333,-119.509722,100,NORMAL,Pendleton|OR,Morrow
WWH30,162.500,Dyersburg,Dyersburg,AR,36.057611,-89.440944,1230,NORMAL,Memphis|TN,Mississippi|Pemiscot|Crockett|Dyer|Gibson|Haywood|Lake|Lauderdale|Obion|Weakley
WWH31,162.500,Valdosta,Hahira,FL,30.970278,-83.286667,1000,NORMAL,Tallahassee|FL,Hamilton|Madison|Berrien|Brooks|Colquitt|Cook|Echols|Lanier|Lowndes
WWH32,162.450,Boyero,Boyero,CO,39.095514,-103.236994,100,NORMAL,Boulder|CO,Elbert|Lincoln
WWH33,162.500,Cornwall,Mohawk Mtn.,CT,41.821111,-73.296667,500,NORMAL,Albany|NY,Fairfield|Hartford|Litchfield|New Haven|Berkshire|Hampden|Dutchess|Putnam
WWH34,162.425,Walton,Walton,NY,42.1112,-75.1014,300,NORMAL,Binghamton|NY,Broome|Chenango|Delaware|Otsego|Schoharie|Sullivan
WWH35,162.450,Cooperstown,Cornish Hill Rd.,NY,42.678889,-74.899722,100,NORMAL,Binghamton|NY,Chenango|Delaware|Herkimer|Madison|Montgomery|Oneida|Otsego|Schoharie
WWH36,162.450,Mitchell,Mitchell,SD,43.697917,-98.044222,1010,NORMAL,Sioux Falls|SD,Aurora|Davison|Douglas|Hanson|Hutchinson|McCook|Miner|Sanborn
WWH37,162.500,Clarksville,Clarksville,KY,36.516389,-87.336944,300,NORMAL,Nashville|TN,Christian|Todd|Dickson|Montgomery|Robertson|Stewart
WWH38,162.525,Grove,Grove,AR,36.455,-94.779167,300,NORMAL,Tulsa|OK,Benton|McDonald|Newton|Craig|Delaware|Mayes|Ottawa
WWH39,162.425,Brunswick,Arco,GA,31.194167,-81.491667,300,NORMAL,Jacksonville|FL,Brantley|Camden|Glynn|McIntosh
WWQ50,162.425,Dalhart,Texline,NM,36.274622,-102.854634,1000,NORMAL,Amarillo|TX,Union|Cimarron|Dallam|Hartley
WWQ51,162.525,Stratford,Stratford,OK,36.336111,-102.071667,1000,NORMAL,Amarillo|TX,Cimarron|Texas|Dallam|Hansford|Hartley|Moore|Sherman
WXJ20,162.400,Columbia,West Columbia,SC,34.118611,-80.936667,1000,NORMAL,Columbia|SC,Calhoun|Fairfield|Kershaw|Lee|Lexington|Newberry|Orangeburg|Richland|Saluda|Sumter
WXJ21,162.550,Greenville,Paris Mtn.,NC,34.940556,-82.410556,1000,NORMAL,Greenville-Spartanburg|SC,Polk|Rutherford|Abbeville|Anderson|Cherokee|Greenville|Greenwood|Laurens|Newberry|Oconee|Pickens|Spartanburg|Union
WXJ22,162.550,Florence,Pockett Rd.,SC,34.280109,-79.742858,1000,NORMAL,Wilmington|NC,Chesterfield|Clarendon|Darlington|Dillon|Florence|Kershaw|Lee|Marion|Marlboro|Sumter|Williamsburg
WXJ23,162.450,Beaufort,Green Pond,GA,32.712222,-80.680278,500,NORMAL,Charleston|SC,Chatham|Effingham|Allendale|Bamberg|Beaufort|Colleton|Hampton|Jasper
WXJ24,162.400,Homer,Diamond Ridge,AK,59.68081,-151.61774,800,NORMAL,Anchorage|AK,Kenai Peninsula
WXJ25,162.550,Juneau,Juneau,AK,58.301746,-134.42035,300,NORMAL,Juneau|AK,Hoonah-Angoon|Juneau
WXJ26,162.550,Ketchikan,Point Higgins,AK,55.460822,-131.810428,500,NORMAL,Juneau|AK,Ketchikan Gateway
WXJ28,162.450,Jesup,Jesup,GA,31.674167,-81.886667,300,NORMAL,Jacksonville|FL,Appling|Bacon|Brantley|Liberty|Long|McIntosh|Pierce|Tattnall|Wayne
WXJ30,162.425,Americus,Americus,GA,32.0625,-84.2125,1000,NORMAL,Peachtree City|GA,Crisp|Dooly|Lee|Macon|Marion|Randolph|Schley|Stewart|Sumter|Taylor|Terrell|Webster
WXJ31,162.500,Thomaston,Thomaston,GA,32.986278,-84.365667,1040,NORMAL,Peachtree City|GA,Bibb|Butts|Clayton|Coweta|Crawford|Fayette|Harris|Henry|Lamar|Meriwether|Monroe|Peach|Pike|Spalding|Talbot|Taylor|Troup|Upson
WXJ33,162.550,Santa Fe,Tesuque Peak,NM,35.785556,-105.781944,100,NORMAL,Albuquerque|NM,Los Alamos|Rio Arriba|San Miguel|Sandoval|Santa Fe|Taos|Torrance
WXJ34,162.400,Albuquerque,Albuquerque,NM,35.065556,-106.787778,100,NORMAL,Albuquerque|NM,Bernalillo|Sandoval|Valencia
WXJ35,162.475,Portales,Portales,NM,34.252222,-103.239444,100,NORMAL,Albuquerque|NM,Curry|Roosevelt
WXJ36,162.400,Hobbs,Maljamar,NM,32.704306,-103.566667,80,NORMAL,Midland/Odessa|TX,Eddy|Lea
WXJ37,162.475,Farmington,Farmington,CO,36.695833,-108.220556,300,NORMAL,Albuquerque|NM,La Plata|San Juan
WXJ38,162.550,Ruidoso,Sierra Blanca,NM,33.403889,-105.782222,300,NORMAL,Albuquerque|NM,Chaves|Lincoln|Otero|Torrance
WXJ39,162.400,Providence,Johnston,MA,41.805,-71.4733,500,NORMAL,Boston/Norton|MA,Bristol|Kent|Newport|Providence|Washington
WXJ40,162.400,Concord,Plausawa Hill,NH,43.219444,-71.440278,300,NORMAL,Gray/Portland|ME,Belknap|Carroll|Hillsborough|Merrimack|Rockingham|Strafford|Sullivan
WXJ41,162.475,Hartford,Soapstone Mtn.,CT,41.958611,-72.413611,300,NORMAL,Boston/Norton|MA,Hartford|Litchfield|Middlesex|New Haven|New London|Tolland|Windham|Franklin|Hampden|Hampshire|Worcester
WXJ42,162.400,Meriden,West Peak,CT,41.563056,-72.845,500,NORMAL,New York|NY,Fairfield|Hartford|Litchfield|Middlesex|New Haven|New London|Tolland|Windham|Nassau|Suffolk
WXJ43,162.550,Great Falls,Bootlegger Hill,MT,47.606401,-111.318561,300,NORMAL,Great Falls|MT,Cascade|Chouteau|Judith Basin|Teton
WXJ45,162.500,Deer Trail,Deer Trail,CO,39.594594,-103.990045,100,NORMAL,Boulder|CO,Adams|Arapahoe|Boulder|Broomfield|Clear Creek|Denver|Douglas|Gilpin|Jefferson|Larimer|Park|Weld
WXJ46,162.475,Dayton,Miamisburg,IN,39.658333,-84.316667,1000,NORMAL,Wilmington|OH,Fayette|Union|Wayne|Butler|Champaign|Clark|Clinton|Darke|Greene|Logan|Miami|Montgomery|Preble|Shelby|Warren
