CALLSIGN,FREQ,SITENAME,SITELOC,ST,LAT,LON,PWR,STATUS,WFO,COUNTY
WXJ58,162.550,Fort Wayne,Fort Wayne,IN,41.103611,-85.191111,1000,NORMAL,Northern Indiana|IN,Adams|Allen|Blackford|De Kalb|Grant|Huntington|Jay|Kosciusko|Noble|Wabash|Wells|Whitley|Defiance|Paulding
WXJ60,162.475,Gainesville,Northwood,FL,29.7094,-82.3903,1000,NORMAL,Jacksonville|FL,Alachua|Baker|Bradford|Clay|Columbia|Dixie|Gilchrist|Lafayette|Levy|Marion|Putnam|Suwannee|Union
WXJ61,162.425,Avilla,La Russell,KS,37.164222,-94.0053,1000,NORMAL,Springfield|MO,Cherokee|Crawford|Barry|Barton|Cedar|Dade|Jasper|Lawrence|McDonald|Newton|Stone
WXJ62,162.550,Nome,Fort Davis,AK,64.486667,-165.3025,1000,NORMAL,Fairbanks|AK,Nome
WXJ63,162.550,Valdez,Valdez,AK,61.130437,-146.352503,300,NORMAL,Anchorage|AK,Chugach
WXJ64,162.550,Leader,Omen Lake,MN,46.551944,-94.520833,1000,NORMAL,Duluth|MN,Cass|Crow Wing|Morrison|Otter Tail|Todd|Wadena
WXJ65,162.450,Broken Bow,Choctaw,AR,34.245944,-94.783139,1030,NORMAL,Shreveport|LA,Howard|Little River|Sevier|Choctaw|Le Flore|McCurtain|Pushmataha|Red River
WXJ68,162.550,Maricao,Monte Del Estado,PR,18.1481,-66.9831,1000,NORMAL,San Juan|PR,Aguada|Aguadilla|Anasco|Cabo Rojo|Camuy|Guanica|Hatillo|Hormigueros|Isabela|Lares|Las Marias|Maricao|Mayaguez|Moca|Quebradillas|Rincon|Sabana Grande|San German|San Sebastian|Yauco
WXJ69,162.400,San Juan,Aguas Buenas,PR,18.265,-66.085,1000,NORMAL,San Juan|PR,Aguas Buenas|Aibonito|Arroyo|Barceloneta|Barranquitas|Bayamon|Caguas|Canovanas|Carolina|Catano|Cayey|Cidra|Comerio|Corozal|Dorado|Guayama|Guaynabo|Gurabo|Humacao|Juncos|Las Piedras|Loiza|Luquillo|Manati|Maunabo|Morovis|Naguabo|Naranjito|Orocovis|Patillas|Rio Grande|San Juan|San Lorenzo|Toa Alta|Toa Baja|Trujillo Alto|Vega Alta|Vega Baja|Yabucoa
WXJ70,162.550,Melbourne,Melbourne,FL,28.2283,-80.7567,1000,NORMAL,Melbourne|FL,Brevard|Indian River|Orange|Osceola
WXJ71,162.475,Peoria,East Peoria,IL,40.628889,-89.57,1000,NORMAL,Lincoln|IL,Fulton|Knox|Marshall|Mason|McLean|Peoria|Stark|Tazewell|Woodford
WXJ72,162.450,Summerville,Taylors Ridge,AL,34.469028,-85.297306,302,OUT OF SERVICE,Peachtree City|GA,Cherokee|Chattooga|Floyd|Gordon|Polk|Walker
WXJ73,162.550,Quad Cities,Rock Island,IA,41.51,-90.574444,1000,NORMAL,Quad Cities|IA,Cedar|Clinton|Louisa|Muscatine|Scott|Henry|Mercer|Rock Island|Whiteside
WXJ75,162.400,Springfield,Springfield,IL,39.7833,-89.4461,1000,NORMAL,Lincoln|IL,Cass|Christian|De Witt|Logan|Macon|Macoupin|Mason|Menard|Montgomery|Morgan|Sangamon
WXJ76,162.550,Champaign,Seymour,IL,40.1058,-88.449667,1000,NORMAL,Lincoln|IL,Champaign|Coles|De Witt|Douglas|Edgar|Ford|Moultrie|Piatt|Vermilion
WXJ78,162.550,Kodiak,Woman's Bay,AK,57.7344,-152.5014,1000,NORMAL,Kodiak|AK (WSO),Kodiak Island
WXJ79,162.400,Cordova,Ski Hill,AK,60.549944,-145.749552,1000,NORMAL,Anchorage|AK,Chugach
WXJ80,162.550,Sitka,Biorka Island,AK,57.0472,-135.3669,500,NORMAL,Juneau|AK,Sitka
WXJ81,162.550,Fairbanks,Ester Dome,AK,64.8789,-148.0558,700,NORMAL,Fairbanks|AK,Fairbanks North Star|Southeast Fairbanks|Yukon-Koyukuk
WXJ83,162.400,Wrangell,Wrangell,AK,56.472495,-132.386953,1000,NORMAL,Juneau|AK,Wrangell
WXJ84,162.400,Charleston,Charleston,WV,38.356833,-81.605333,1000,NORMAL,Charleston|WV,Boone|Cabell|Clay|Fayette|Jackson|Kanawha|Lincoln|Mason|Nicholas|Putnam|Raleigh|Roane
WXJ85,162.550,Clarksburg,Bridgeport,WV,39.300003,-80.291309,1000,NORMAL,Charleston|WV,Barbour|Doddridge|Harrison|Lewis|Marion|Randolph|Ritchie|Taylor|Tyler|Upshur|Wetzel
WXJ86,162.550,LaCrescent,LaCrescent,IA,43.804722,-91.368333,1000,NORMAL,La Crosse|WI,Allamakee|Houston|Winona|Buffalo|Crawford|Jackson|La Crosse|Monroe|Trempealeau|Vernon
WXJ87,162.550,Madison,Middleton Junction,WI,43.055833,-89.535,1000,NORMAL,Milwaukee/Sullivan|WI,Columbia|Dane|Dodge|Green|Iowa|Jefferson|Lafayette|Rock|Sauk
WXJ88,162.400,Menomonie,Wheeler,WI,45.046944,-91.863333,1000,NORMAL,Twin Cities/Chanhassen|MN,Barron|Buffalo|Chippewa|Dunn|Eau Claire|Pepin|Pierce|Polk|Rusk|St. Croix|Trempealeau
WXJ89,162.475,Wausau,Marathon,WI,44.9206,-89.6919,1000,NORMAL,Green Bay|WI,Clark|Langlade|Lincoln|Marathon|Menominee|Oneida|Portage|Shawano|Taylor|Waupaca|Wood
WXJ91,162.525,Madisonville,Madisonville,KY,37.190278,-87.513056,1000,NORMAL,Paducah|KY,Caldwell|Christian|Crittenden|Daviess|Henderson|Hopkins|Lyon|McLean|Muhlenberg|Todd|Trigg|Union|Webster
WXJ92,162.500,Macomb,Macomb,IL,40.427778,-90.682778,1000,NORMAL,Quad Cities|IA,Adams|Brown|Cass|Fulton|Hancock|Henderson|Knox|Mason|McDonough|Schuyler|Warren
WXJ93,162.400,Lima,Cridersville,OH,40.634167,-84.208056,1000,NORMAL,Wilmington|OH,Allen|Auglaize|Defiance|Hancock|Hardin|Logan|Mercer|Paulding|Putnam|Shelby|Van Wert|Wyandot
WXJ94,162.550,Lewes,Green Hill,DE,38.6269,-75.2317,500,NORMAL,Philadelphia/Mt Holly|NJ,Kent|Sussex|Caroline|Wicomico|Worcester|Cape May
WXJ95,162.400,Key West,Summerland Key,FL,24.6598,-81.5383,300,NORMAL,Key West|FL,Monroe
WXJ96,162.550,Monroe,Monroe,LA,32.527694,-92.102222,800,NORMAL,Shreveport|LA,Caldwell|Franklin|Jackson|Lincoln|Morehouse|Ouachita|Richland|Union|West Carroll|Winn
WXJ97,162.400,Shreveport,Lake View,LA,32.575806,-93.8686,1120,NORMAL,Shreveport|LA,Bienville|Bossier|Caddo|Claiborne|De Soto|Red River|Webster|Cass|Harrison|Marion|Panola
WXJ98,162.400,Del Rio,Amistad Village,TX,29.4681,-101.01145,1000,NORMAL,Austin/San Antonio|TX,Kinney|Maverick|Val Verde
WXK20,162.550,Paris,Paris,OK,33.6164,-95.547111,1000,NORMAL,Fort Worth-Dallas|TX,Bryan|Choctaw|Delta|Fannin|Franklin|Hopkins|Hunt|Lamar|Red River|Titus
WXK22,162.475,Sherman,Sherman/Denison,OK,33.702833,-96.56825,1030,NORMAL,Fort Worth-Dallas|TX,Bryan|Carter|Johnston|Love|Marshall|Collin|Cooke|Denton|Fannin|Grayson
WXK23,162.550,Lufkin,Lufkin,TX,31.296111,-94.714167,1000,NORMAL,Shreveport|LA,Angelina|Cherokee|Houston|Jasper|Nacogdoches|Polk|San Augustine|Trinity|Tyler
WXK24,162.450,Odell,Odell,IL,40.9925,-88.598056,1000,NORMAL,Chicago|IL,Ford|Grundy|Iroquois|Kankakee|La Salle|Livingston|Marshall|McLean|Will|Woodford
WXK25,162.475,El Paso,COMANCHE PEAK,NM,31.796111,-106.483056,300,NORMAL,El Paso|TX,Dona Ana|Otero|El Paso|Hudspeth
WXK26,162.475,Laredo,Laredo,TX,27.5203,-99.5222,500,NORMAL,Corpus Christi|TX,Webb|Zapata
WXK27,162.400,Austin,Austin,TX,30.3219,-97.8033,1010,NORMAL,Austin/San Antonio|TX,Bastrop|Blanco|Burnet|Caldwell|Hays|Lee|Travis|Williamson
WXK28,162.475,Beaumont,Beaumont,TX,30.13327,-94.11866,1000,NORMAL,Lake Charles|LA,Chambers|Hardin|Jasper|Jefferson|Newton|Orange|Tyler
WXK29,162.400,Abilene,Clyde,TX,32.275556,-99.590278,1000,NORMAL,San Angelo|TX,Callahan|Coleman|Fisher|Haskell|Jones|Nolan|Runnels|Shackelford|Taylor
WXK30,162.550,Bryan,College Station,TX,30.6431,-96.3314,1000,NORMAL,Houston/Galveston|TX,Austin|Brazos|Burleson|Grimes|Leon|Madison|Milam|Robertson|Walker|Waller|Washington
WXK31,162.475,Wichita Falls,Wichita Falls,OK,33.881972,-98.601611,1000,NORMAL,Norman|OK,Cotton|Tillman|Archer|Baylor|Clay|Wichita|Wilbarger
WXK32,162.400,Midland/Odessa,Odessa,TX,31.845186,-102.469992,700,NORMAL,Midland/Odessa|TX,Andrews|Crane|Ector|Martin|Midland|Upton|Ward|Winkler
WXK33,162.550,San Angelo,San Angelo,TX,31.623278,-100.437722,1000,NORMAL,San Angelo|TX,Coke|Concho|Irion|Runnels|Schleicher|Sterling|Tom Green
WXK34,162.400,Victoria,Victoria,TX,28.8356,-97.116667,1000,NORMAL,Corpus Christi|TX,Calhoun|DeWitt|Goliad|Jackson|Lavaca|Victoria
WXK35,162.475,Waco,Moody,TX,31.314833,-97.326972,1040,NORMAL,Fort Worth-Dallas|TX,Bell|Bosque|Coryell|Falls|Hill|Limestone|McLennan|Milam|Robertson
WXK36,162.475,Tyler,Lindale,TX,32.4856,-95.4831,1000,NORMAL,Shreveport|LA,Anderson|Cherokee|Gregg|Henderson|Rusk|Smith|Upshur|Van Zandt|Wood
WXK37,162.475,Big Spring,Big Spring,TX,32.2818,-101.493099,950,NORMAL,Midland/Odessa|TX,Borden|Dawson|Glasscock|Howard|Martin|Midland|Mitchell|Scurry
WXK38,162.550,Amarillo,Amarillo,TX,35.374889,-101.882611,950,NORMAL,Amarillo|TX,Armstrong|Carson|Hartley|Hutchinson|Moore|Oldham|Potter|Randall
WXK40,162.400,Mankato,Janesville,MN,44.087722,-93.701778,1000,NORMAL,Twin Cities/Chanhassen|MN,Blue Earth|Brown|Dodge|Faribault|Freeborn|Le Sueur|Martin|Mower|Nicollet|Rice|Steele|Waseca|Watonwan
WXK41,162.475,Rochester,Viola,MN,44.0625,-92.351944,1000,OUT OF SERVICE,La Crosse|WI,Dodge|Fillmore|Goodhue|Houston|Mower|Olmsted|Wabasha|Winona|Buffalo
WXK42,162.475,Fargo,Fargo,MN,47.012417,-97.195056,1020,NORMAL,Grand Forks|ND,Clay|Norman|Wilkin|Barnes|Cass|Ransom|Richland|Sargent|Steele|Traill
WXK43,162.550,Thief River Falls,Thief River Falls,MN,48.119924,-96.205269,1000,NORMAL,Grand Forks|ND,Beltrami|Clearwater|Kittson|Marshall|Pennington|Polk|Red Lake|Roseau
WXK44,162.475,Willmar,New London,MN,45.3428,-95.007917,600,NORMAL,Twin Cities/Chanhassen|MN,Benton|Chippewa|Kandiyohi|Lac qui Parle|McLeod|Meeker|Pope|Renville|Stearns|Stevens|Swift|Wright|Yellow Medicine
WXK45,162.550,International Falls,Little Fork,MN,48.389722,-93.55,1000,NORMAL,Duluth|MN,Koochiching
WXK46,162.475,Knoxville,Sharps Ridge,TN,35.9991,-83.9497,1000,NORMAL,Morristown|TN,Anderson|Blount|Campbell|Claiborne|Cocke|Grainger|Hamblen|Jefferson|Knox|Loudon|Monroe|Morgan|Roane|Scott|Sevier|Union
WXK47,162.550,Bristol,Holston Mtn.,NC,36.4429,-82.1203,500,NORMAL,Morristown|TN,Ashe|Avery|Madison|Mitchell|Watauga|Yancey|Carter|Cocke|Greene|Hancock|Hawkins|Johnson|Sullivan|Unicoi|Washington|City of Bristol|City of Norton|Lee|Russell|Scott|Smyth|Wise
WXK48,162.550,Chattanooga,Chattanooga,GA,35.2072,-85.2864,1000,NORMAL,Morristown|TN,Catoosa|Chattooga|Dade|Gordon|Murray|Walker|Whitfield|Bledsoe|Bradley|Hamilton|Marion|McMinn|Meigs|Monroe|Polk|Rhea|Sequatchie
WXK49,162.475,Memphis,Memphis,AR,35.181278,-89.832306,1125,NORMAL,Memphis|TN,Crittenden|Cross|Lee|Mississippi|St. Francis|Benton|DeSoto|Marshall|Tate|Tunica|Fayette|Hardeman|Haywood|Lauderdale|Shelby|Tipton
WXK52,162.400,Chatsworth,Cohutta Mtn.,GA,34.751667,-84.715,200,NORMAL,Peachtree City|GA,Bartow|Catoosa|Cherokee|Fannin|Gilmer|Gordon|Murray|Pickens|Walker|Whitfield
WXK53,162.550,Pelham,Pelham,GA,31.1358,-84.1044,1000,NORMAL,Tallahassee|FL,Baker|Brooks|Calhoun|Colquitt|Cook|Decatur|Dougherty|Early|Grady|Lee|Lowndes|Miller|Mitchell|Seminole|Terrell|Thomas|Tift|Worth
WXK54,162.550,Augusta,Wrens,GA,33.2592,-82.285833,1000,NORMAL,Columbia|SC,Burke|Columbia|Emanuel|Glascock|Hancock|Jefferson|Jenkins|Johnson|Lincoln|McDuffie|Richmond|Screven|Taliaferro|Warren|Washington|Wilkes|Aiken|Allendale|Barnwell|Edgefield|McCormick
WXK56,162.400,Athens,Neese,GA,34.0836,-83.322111,500,NORMAL,Peachtree City|GA,Banks|Barrow|Clarke|Elbert|Franklin|Greene|Hall|Hart|Jackson|Madison|Morgan|Oconee|Oglethorpe|Walton|Wilkes
WXK57,162.550,Baker,Bechtold Hill,MT,46.239167,-104.335,300,NORMAL,Billings|MT,Carter|Custer|Fallon|Wibaux|Bowman|Slope|Harding
WXK58,162.550,Reno,Slide Mtn.,CA,39.3131,-119.8836,300,NORMAL,Reno|NV,Alpine|El Dorado|Nevada|Placer|City of Carson City|Douglas|Lyon|Storey|Washoe
WXK60,162.550,Jackson,Norton Hill,TN,35.529694,-88.777083,850,OUT OF SERVICE,Memphis|TN,Carroll|Chester|Crockett|Dyer|Gibson|Hardeman|Hardin|Haywood|Henderson|Madison|McNairy|Weakley
WXK61,162.400,Cookeville,Anderson,TN,36.171333,-85.231278,1000,NORMAL,Nashville|TN,Clay|Cumberland|DeKalb|Fentress|Jackson|Overton|Pickett|Putnam|Smith|Trousdale|Van Buren|White
WXK62,162.400,Waverly,McEwen,TN,36.110556,-87.667222,1000,NORMAL,Nashville|TN,Benton|Dickson|Hickman|Houston|Humphreys|Lewis|Perry|Stewart
WXK63,162.475,Shelbyville,Beech Grove,TN,35.7025,-86.195833,1000,OUT OF SERVICE,Nashville|TN,Bedford|Cannon|Coffee|Franklin|Grundy|Marshall|Moore|Rutherford|Warren|Williamson|Wilson
WXK64,162.425,Hot Springs,Battle Mountain,NE,43.455278,-103.445556,300,NORMAL,Rapid City|SD,Dawes|Sheridan|Sioux|Custer|Fall River
WXK65,162.475,Richmond,Sandston,VA,37.503056,-77.541667,1000,NORMAL,Wakefield|VA,Amelia|Caroline|Charles City|Chesterfield|City of Colonial Heights|City of Fredericksburg|City of Hopewell|City of Petersburg|City of Richmond|Cumberland|Dinwiddie|Fluvanna|Goochland|Hanover|Henrico|King and Queen|King William|Louisa|New Kent|Nottoway|Powhatan|Prince Edward|Prince George|Spotsylvania|Sussex
WXK66,162.400,Helena,Hogback Mtn.,MT,46.826389,-111.709167,1000,NORMAL,Great Falls|MT,Broadwater|Jefferson|Lewis and Clark|Meagher
WXK67,162.550,San Antonio,San Antonio,TX,29.685389,-98.449611,1000,NORMAL,Austin/San Antonio|TX,Atascosa|Bandera|Bexar|Comal|Guadalupe|Kendall|Medina|Wilson
WXK68,162.550,Boise,Doe Point,ID,43.754611,-116.095,297,NORMAL,Boise|ID,Ada|Boise|Canyon|Elmore|Gem|Owyhee
WXK69,162.400,Yakutat,Monti Bay,AK,59.510673,-139.671921,500,NORMAL,Juneau|AK,Yakutat
WXK71,162.475,Macon,GA Forrestry Comm.,GA,32.805278,-83.538889,1000,NORMAL,Peachtree City|GA,Bibb|Bleckley|Crawford|Houston|Jones|Macon|Monroe|Peach|Twiggs|Wilkinson
WXK72,162.400,Putnamville,Brazil,IN,39.568333,-86.886944,1000,NORMAL,Indianapolis|IN,Clay|Fountain|Hendricks|Montgomery|Morgan|Owen|Parke|Putnam|Vermillion|Vigo
WXK73,162.400,Houghton,Painesdale,MI,47.035556,-88.695278,1000,NORMAL,Marquette|MI,Baraga|Gogebic|Houghton|Keweenaw|Ontonagon
WXK74,162.475,Monticello/Lafayette,Yeoman,IN,40.668889,-86.695556,1000,NORMAL,Indianapolis|IN,Benton|Carroll|Cass|Clinton|Fulton|Howard|Jasper|Miami|Newton|Pulaski|Tippecanoe|Warren|White
WXK75,162.475,Waycross,Hasty,GA,31.221389,-82.573333,500,NORMAL,Jacksonville|FL,Appling|Atkinson|Bacon|Berrien|Brantley|Camden|Charlton|Clinch|Coffee|Echols|Glynn|Irwin|Jeff Davis|Lanier|Lowndes|Pierce|Ware|Wayne
WXK76,162.400,Flagstaff,Mt Elden,AZ,35.2414,-111.5975,100,NORMAL,Flagstaff|AZ,Coconino|Navajo|Yavapai
WXK78,162.475,Alexandria,Jena,LA,31.63906,-92.20532,1000,NORMAL,Lake Charles|LA,Avoyelles|Catahoula|Concordia|Grant|La Salle|Rapides|Winn
WXK79,162.400,Lubbock,New Deal,TX,33.7372,-101.7492,1000,NORMAL,Lubbock|TX,Cochran|Crosby|Floyd|Garza|Hale|Hockley|Lamb|Lubbock|Lynn|Terry
WXK80,162.550,Lafayette,Youngsville,LA,30.04863,-91.99683,1000,NORMAL,Lake Charles|LA,Acadia|Evangeline|Iberia|Lafayette|St. Landry|St. Martin|St. Mary|Vermilion
WXK81,162.400,Onondaga,Rossman Rd.,MI,42.4428,-84.572429,1000,NORMAL,Grand Rapids|MI,Branch|Calhoun|Clinton|Eaton|Hillsdale|Ingham|Jackson|Livingston|Shiawassee
WXK82,162.475,Hannibal,Hannibal,IL,39.729944,-91.4055,1000,NORMAL,St. Louis|MO,Adams|Brown|Pike|Lewis|Marion|Monroe|Ralls|Shelby
WXK83,162.475,Fort Myers,Fort Myers,FL,26.62966,-81.8103,1000,NORMAL,Tampa Bay Area|FL,Charlotte|Collier|DeSoto|Glades|Hendry|Lee
WXK83A,162.500,Sebring,Avon Park,FL,27.561928,-81.49364,1000,NORMAL,Tampa Bay Area|FL,Hardee|Highlands|Polk
WXK84,162.400,Fort Dodge,Fort Dodge,IA,42.456778,-94.221889,260,NORMAL,Des Moines|IA,Boone|Calhoun|Hamilton|Humboldt|Pocahontas|Webster|Wright
WXK85,162.400,Oklahoma City,Oklahoma City,OK,35.5681,-97.489111,1080,NORMAL,Norman|OK,Canadian|Cleveland|Grady|Kingfisher|Lincoln|Logan|McClain|Oklahoma|Payne|Pottawatomie
WXK86,162.550,Lawton,Lawton,OK,34.591902,-98.548877,1000,NORMAL,Norman|OK,Caddo|Comanche|Cotton|Grady|Kiowa|Stephens|Tillman
WXK87,162.525,Clinton,Arapaho,OK,35.582833,-98.989389,1000,NORMAL,Norman|OK,Beckham|Blaine|Caddo|Custer|Dewey|Kiowa|Roger Mills|Washita
WXK88,162.400,Payette,Syme Hill / Ontario OR,ID,43.948139,-116.928722,100,NORMAL,Boise|ID,Canyon|Gem|Owyhee|Payette|Washington|Malheur
WXK89,162.550,Unalaska,Dutch Harbor,AK,53.8891,-166.533852,300,NORMAL,Anchorage|AK,Aleutians West
WXK90,162.450,Cheraw,Chesterfield,NC,34.646197,-79.945287,300,NORMAL,Columbia|SC,Anson|Richmond|Scotland|Chesterfield|Darlington|Lee|Marlboro
WXK91,162.475,Topeka,Maple Hill,KS,39.006028,-96.049389,1000,NORMAL,Topeka|KS,Atchison|Douglas|Geary|Jackson|Jefferson|Morris|Osage|Pottawatomie|Riley|Shawnee|Wabaunsee
WXK92,162.400,Ellsworth,Ellsworth,KS,38.8136,-98.1694,1000,NORMAL,Wichita|KS,Barton|Ellsworth|Lincoln|McPherson|Rice|Russell|Saline
WXK93,162.475,Dodge City,Ensign,KS,37.641222,-100.344722,1000,NORMAL,Dodge City|KS,Clark|Finney|Ford|Gray|Haskell|Hodgeman|Meade|Seward
WXK94,162.550,Concordia,Concordia,KS,39.4389,-97.7053,1000,NORMAL,Topeka|KS,Clay|Cloud|Jewell|Mitchell|Ottawa|Republic|Washington
WXK95,162.400,Chanute,Erie,KS,37.573167,-95.220167,1000,NORMAL,Wichita|KS,Allen|Bourbon|Cherokee|Crawford|Labette|Montgomery|Neosho|Wilson|Woodson
WXK96,162.400,Gem,Colby,KS,39.4808,-100.91,700,NORMAL,Goodland|KS,Cheyenne|Decatur|Gove|Logan|Rawlins|Sheridan|Sherman|Thomas|Wallace
WXK97,162.500,Sudlersville,Sudlersville,DE,39.175389,-75.918278,1100,NORMAL,Philadelphia/Mt Holly|NJ,Kent|New Castle|Sussex|Anne Arundel|Baltimore|Caroline|Cecil|City of Baltimore|Dorchester|Harford|Howard|Queen Annes|Talbot|Cumberland|Salem|Chester
WXK98,162.550,Lewiston,Winchester Grade,ID,46.33,-116.632778,100,NORMAL,Spokane|WA,Clearwater|Idaho|Latah|Lewis|Nez Perce|Asotin|Garfield|Whitman
WXL22,162.425,Princeton,Tiskilwa,IL,41.285556,-89.598889,300,NORMAL,Quad Cities|IA,Bureau|Henry|La Salle|Lee|Marshall|Putnam|Stark|Whiteside
WXL23,162.525,Lead,Terry Peak,MT,44.328056,-103.834444,300,NORMAL,Rapid City|SD,Carter|Butte|Harding|Lawrence|Pennington|Crook|Weston
WXL25,162.400,Missoula,Point Six Mtn.,MT,47.0403,-113.9878,100,NORMAL,Missoula|MT,Granite|Lake|Mineral|Missoula|Ravalli|Sanders
WXL26,162.475,Port O'Connor,Port O'Connor,TX,28.438472,-96.448778,100,NORMAL,Corpus Christi|TX,Aransas|Calhoun|Jackson
WXL27,162.550,Billings,Emerald Hills,MT,45.805833,-108.349444,300,NORMAL,Billings|MT,Big Horn|Carbon|Golden Valley|Musselshell|Stillwater|Sweet Grass|Wheatland|Yellowstone
WXL28,162.550,Elko,West Twin Peak,NV,40.915278,-115.819167,100,NORMAL,Elko|NV,Elko|Eureka
WXL29,162.400,Winnemucca,Winnemucca Mtn.,NV,41.011111,-117.7675,100,NORMAL,Elko|NV,Humboldt|Pershing
WXL30,162.400,Tucson,Mt. Lemmon,AZ,32.440778,-110.788139,146,NORMAL,Tucson|AZ,Pima|Pinal
WXL31,162.550,Syracuse,Makyes Rd.,NY,42.966667,-76.200278,1000,NORMAL,Binghamton|NY,Cayuga|Cortland|Jefferson|Lewis|Madison|Oneida|Onondaga|Oswego|Wayne
WXL32,162.400,Glasgow,Signal Hill,MT,48.031389,-106.315833,300,NORMAL,Glasgow|MT,Garfield|McCone|Valley
WXL33,162.550,Pocatello,Atomic City,ID,43.500833,-112.663333,100,NORMAL,Pocatello|ID,Bannock|Bingham|Blaine|Bonneville|Butte|Clark|Jefferson|Madison|Power
WXL34,162.550,Albany,New Scotland,MA,42.636944,-74.001667,1000,OUT OF SERVICE,Albany|NY,Berkshire|Albany|Columbia|Fulton|Greene|Montgomery|Rensselaer|Saratoga|Schenectady|Schoharie
WXL35,162.400,Twin Falls,Jerome,ID,42.7303,-114.413389,102,NORMAL,Boise|ID,Cassia|Gooding|Jerome|Lincoln|Twin Falls
WXL36,162.550,Las Vegas,Boulder City,NV,35.9969,-114.862778,100,NORMAL,Las Vegas|NV,Clark
WXL37,162.475,Highland,Illinois Mtn.,CT,41.7192,-73.996389,1000,NORMAL,Albany|NY,Litchfield|Columbia|Dutchess|Greene|Orange|Putnam|Sullivan|Ulster
WXL38,162.475,Binghamton,Binghamton,NY,42.0611,-75.9456,1000,NORMAL,Binghamton|NY,Broome|Chenango|Cortland|Delaware|Tioga|Tompkins|Bradford|Susquehanna
WXL39,162.400,Allentown,Allentown,NJ,40.565,-75.4406,1010,NORMAL,Philadelphia/Mt Holly|NJ,Hunterdon|Mercer|Morris|Somerset|Sussex|Warren|Berks|Bucks|Carbon|Lehigh|Monroe|Montgomery|Northampton|Pike|Schuylkill
WXL40,162.550,Harrisburg,Blue Mtn.,PA,40.345235,-76.868997,1000,NORMAL,State College|PA,Adams|Berks|Cumberland|Dauphin|Juniata|Lancaster|Lebanon|Perry|Schuylkill|York
WXL41,162.475,Buras,Buras,LA,29.35545,-89.52424,1000,NORMAL,New Orleans/Baton Rouge|LA,Jefferson|Plaquemines
WXL42,162.400,Winston-Salem,Sauratown Mtn. ,NC,36.37748,-80.3639,1000,NORMAL,Raleigh|NC,Alamance|Alexander|Alleghany|Caswell|Davidson|Davie|Forsyth|Guilford|Iredell|Randolph|Rockingham|Rowan|Stokes|Surry|Wilkes|Yadkin|Carroll|City of Danville|City of Galax|City of Martinsville|Floyd|Grayson|Henry|Patrick|Pittsylvania
WXL43,162.550,Wilkes-Barre,Penobscot Knob,PA,41.182778,-75.873889,500,NORMAL,Binghamton|NY,Carbon|Columbia|Lackawanna|Luzerne|Monroe|Pike|Schuylkill|Susquehanna|Wayne|Wyoming
WXL44,162.500,Ozona,Ozona,TX,30.739861,-101.270528,304,NORMAL,San Angelo|TX,Crockett|Sutton
WXL45,162.400,Columbia,Fulton,MO,38.8786,-91.981778,1000,NORMAL,St. Louis|MO,Audrain|Boone|Callaway|Cole|Cooper|Gasconade|Howard|Moniteau|Montgomery|Osage
WXL46,162.400,Fordland,Fordland,MO,37.2192,-92.9492,1000,NORMAL,Springfield|MO,Barry|Christian|Dade|Dallas|Douglas|Greene|Laclede|Lawrence|Polk|Stone|Taney|Webster|Wright
WXL47,162.400,Bloomfield,Idalia/Sikeston,MO,36.9022,-89.8881,1000,NORMAL,Paducah|KY,Butler|Dunklin|Mississippi|New Madrid|Scott|Stoddard|Wayne
WXL48,162.475,Enid,Drummond,OK,36.287667,-98.03675,1050,NORMAL,Norman|OK,Alfalfa|Blaine|Garfield|Grant|Kingfisher|Logan|Major
WXL49,162.475,McAlester,McAlester,OK,34.976528,-95.717028,950,NORMAL,Tulsa|OK,Atoka|Coal|Haskell|Hughes|Latimer|McIntosh|Okfuskee|Okmulgee|Pittsburg|Pushmataha
WXL50,162.475,Saint Pauls,Saint Pauls,NC,34.797498,-79.044835,1000,NORMAL,Wilmington|NC,Bladen|Columbus|Cumberland|Harnett|Hoke|Moore|Robeson|Sampson|Scotland|Dillon|Marlboro
WXL51,162.500,Toledo,Holland,MI,41.625556,-83.711111,300,NORMAL,Cleveland|OH,Lenawee|Monroe|Defiance|Fulton|Hancock|Henry|Lucas|Ottawa|Sandusky|Seneca|Williams|Wood
WXL52,162.550,Clearfield,Clearfield,PA,41.122592,-78.44116,500,NORMAL,State College|PA,Cambria|Cameron|Clearfield|Clinton|Elk|Jefferson
WXL53,162.400,Havre,Squaw Butte,MT,48.494364,-109.714889,300,NORMAL,Great Falls|MT,Blaine|Chouteau|Hill
WXL54,162.400,Miles City,Gov't. Hill,MT,46.404444,-105.663333,300,NORMAL,Billings|MT,Carter|Custer|Powder River|Prairie|Rosebud
WXL55,162.400,Williamsport,Montoursvil,PA,41.190185,-76.979783,1000,NORMAL,State College|PA,Clinton|Columbia|Lycoming|Montour|Northumberland|Snyder|Sullivan|Union
WXL56,162.400,Asheville,Asheville,NC,35.425556,-82.756944,300,NORMAL,Greenville-Spartanburg|SC,Avery|Buncombe|Burke|Haywood|Henderson|Jackson|Madison|McDowell|Mitchell|Polk|Rutherford|Transylvania|Yancey
WXL57,162.550,Des Moines,Johnston,IA,41.8094,-93.621583,1020,NORMAL,Des Moines|IA,Adair|Boone|Clarke|Dallas|Greene|Guthrie|Jasper|Madison|Marion|Polk|Story|Warren
