Frequency,Station Call Letters,Station City,Station State/Province,Station Country,Concatenated Station Location,Station Lat,Station Long
600,XEOCH,Ocosingo,Chiapas,Mexico,"Ocosingo, Chiapas, Mexico",16.657706,-91.193079
600,La Nueva Radio Ya,Managua,DX,Nicaragua,"Managua, Nicaragua",12.154712,-86.273725
600,YNLD,Managua,DX,Nicaragua,"Managua, Nicaragua",12.154712,-86.273725
603,RNE 5,Sevilla,DX,Spain,"Sevilla, Spain",37.38863,-5.99534
610,CKTB,St. Catharines,ON,Canada,"St. Catharines, ON, Canada",43.157981,-79.2441
610,CHTM,Thompson,MB,Canada,"Thompson, MB, Canada",55.743347,-97.863464
610,Radio Rebelde (610),Bueycito-Entronque,DX,Cuba,"Bueycito-Entronque, Cuba",20.291629,-76.771363
610,Radio Rebelde (610),Guane,DX,Cuba,"Guane, Cuba",22.202023,-84.082915
610,XECCBS,Fresnillo,Zacatecas,Mexico,"Fresnillo, Mexico",23.18126,-102.87136
610,XEGS,Guasave,Sinaloa,Mexico,"Guasave, Sinaloa, Mexico",25.504638,-108.53996
610,XEBX,Sabinas,Coahuila,Mexico,"Sabinas, Coahuila, Mexico",27.942464,-101.072781
612,SBR R. Riyadh,Aflaj - Layla,DX,Saudi Arabia,"Aflaj - Layla, Saudi Arabia",22.30931,46.661982
620,CKCM,Grand Falls,NL,Canada,"Grand Falls, NL, Canada",48.929718,-55.655365
620,CKRM,Regina,SK,Canada,"Regina, SK, Canada",50.447973,-104.615876
620,Radio Rebelde (620),Colon,DX,Cuba,"Colon, Cuba",22.722327,-80.904717
620,XENK,Ecatepec de Morelos,Estado de México,Mexico,"Ecatepec de Morelos, Mexico",19.599408,-99.048728
620,XESS,Puerto Nuevo,Baja California,Mexico,"Puerto Nuevo, Baja California, Mexico",32.243012,-116.934162
620,XEGH,Rio Bravo,Tamaulipas,Mexico,"Rio Bravo, Tamaulipas, Mexico",25.727478,-98.053715
620,XEHGR,Villahermosa,Tabasco,Mexico,"Villahermosa, Tabasco, Mexico",17.988466,-92.936633
620,YNN,Managua,DX,Nicaragua,"Managua, Nicaragua",12.154712,-86.273725
621,RNE,Las Mesas,DX,Canary Islands,"Las Mesas, Canary Islands",28.102164,-15.495495
630,CFCO,Chatham,ON,Canada,"Chatham, ON, Canada",42.405722,-82.185384
630,CHED,Edmonton,AB,Canada,"Edmonton, AB, Canada",53.546205,-113.491241
630,CKAT,North Bay,ON,Canada,"North Bay, ON, Canada",46.309212,-79.460762
630,Radio Progreso (630),Canaguey,DX,Cuba,"Canaguey, Cuba",23.013134,-80.832875
630,XEFU,Cosamaloapan,Veracruz,Mexico,"Cosamaloapan, Veracruz, Mexico",18.364414,-95.796579
630,XEPBGJ,Guadalajara,Jalisco,Mexico,"Guadalajara, Mexico",20.659698,-103.349609
630,XEFB,Monterrey,Nuevo Leon,Mexico,"Monterrey, Mexico",25.686613,-100.316116
630,WUNO,San Juan,DX,Puerto Rico,"San Juan, Puerto Rico",18.384239,-66.05344
640,CFIQ,Richmond Hill,ON,Canada,"Richmond Hill, ON, Canada",43.880117,-79.439292
640,CBN,St John,NL,Canada,"St John, Canada",47.56,-52.75
640,Radio Progreso (640),Guanabacoa,DX,Cuba,"Guanabacoa, Cuba",23.125517,-82.304871
640,XEJUA,Ciudad Juarez,Chihuahua,Mexico,"Ciudad Juarez, Mexico",31.69,-106.42
640,XELOVE,Ciudad Juarez,Chihuahua,Mexico,"Ciudad Juarez, Mexico",31.69,-106.42
640,XETAM,Ciudad Victoria,Tamaulipas,Mexico,"Ciudad Victoria, Tamaulipas, Mexico",23.738985,-99.144135
640,XECCCN,Lomas de Calera,Zacatecas,Mexico,"Lomas de Calera, Zacatecas, Mexico",23.658512,-102.00771
640,XENQ,Tulancingo,Hidalgo,Mexico,"Tulancingo, Hidalgo, Mexico",20.083959,-98.363538
648,BCC News Network,New Taipei City,DX,Taiwan,"New Taipei City, Taiwan",25.083455,121.475534
648,Voice of Vietnam,An Nohn,DX,Vietnam,"An Nohn, Vietnam",15.926666,107.965086
650,CISL,Richmond,BC,Canada,"Richmond, BC, Canada",49.163168,-123.137414
650,CKOM,Saskatoon,SK,Canada,"Saskatoon, SK, Canada",52.131802,-106.660767
650,HJKH,Bogotá,DX,Colombia,"Bogota, Colombia",4.653382,-74.083633
650,Radio Progreso (650),Ciego de Avila,DX,Cuba,"Ciego de Avila, Cuba",21.747669,-78.731492
650,HIAT,Santo Domingo,DX,Dominican Republic,"Santo Domingo, Dominican Republic",18.471386,-69.891844
650,Radio Catolica de Olancho,Juticalpa,DX,Honduras,"Juticalpa, Honduras",14.667203,-86.219583
650,XEVG,Merida,Yucatan,Mexico,"Merida, Yucatan, Mexico",20.967076,-89.62374
657,Akashvani Geetanjali,Kolkata,DX,India,"Kolkata, India",22.572646,88.363895
660,CFFR,Calgary,AB,Canada,"Calgary, AB, Canada",51.045606,-114.057541
660,Radio Progreso (660),Jovellanos,DX,Cuba,"Jovellanos, Cuba",22.80516,-81.196847
660,Radio Vision Christiana,Santiago,DX,Dominican Republic,"Santiago, Dominican Republic",19.336389,-70.952128
660,XEEY,Aguascalientes,Aguascalientes,Mexico,"Aguascalientes, Aguascalientes, Mexico",21.880487,-102.296719
660,XECPR,Felipe Carillo Puerto,Quintana Roo,Mexico,"Felipe Carillo Puerto, Quintana Roo, Mexico",19.585014,-88.048311
660,XEDTL,Mexico City,Ciudad Mexico,Mexico,"Mexico City, Ciudad Mexico, Mexico",19.43263,-99.133178
660,XEFZ,San Nicolás de los Garza,Nuevo Leon,Mexico,"San Nicolás de los Garza, Nuevo Leon, Mexico",25.755802,-100.289648
666,DZRH News,Valenzuela - Malanday,DX,Philippines,"Valenzuela - Malanday, Philippines",14.715231,120.961327
670,Radio Rebelde (670),Arroyo Arenas,DX,Cuba,"Arroyo Arenas, Cuba",23.03829,-82.475343
670,HIBS,San Pedro de Macoris,DX,Dominican Republic,"San Pedro de Macoris, Dominican Republic",18.607895,-69.488549
680,CFTR,Toronto,ON,Canada,"Toronto, Canada",43.6532,-79.3832
680,CJOB,Winnipeg,MB,Canada,"Winnipeg, MB, Canada",49.895537,-97.138458
680,HJZO,Barranquilla,DX,Colombia,"Barranquilla, Colombia",11.010192,-74.823179
680,Radio Progreso (680),Havana,DX,Cuba,"Havana, Cuba",23.135305,-82.358963
680,WAPA,San Juan,DX,Puerto Rico,"San Juan, Puerto Rico",18.384239,-66.05344
684,RNE Radio Nacional,Sevilla,DX,Spain,"Sevilla, Spain",37.38863,-5.99534
690,CBKF-1,Gravelbourg,SK,Canada,"Gravelbourg, SK, Canada",49.875103,-106.555757
690,CFGM,Montreal,QC,Canada,"Montreal, Canada",45.50888,-73.561668
690,CINF,Montreal,QC,Canada,"Montreal, Canada",45.50888,-73.561668
690,CKGM,Montréal,QC,Canada,"Montréal, QC, Canada",45.503182,-73.569806
690,CBU,Vancouver,BC,Canada,"Vancouver, BC, Canada",49.260872,-123.113952
690,HCJX,Bogotá,DX,Colombia,"Bogota, Colombia",4.653382,-74.083633
690,Radio Progreso (690),Santa Clara,DX,Cuba,"Santa Clara, Cuba",22.40694,-79.96472
690,XEMA,Fresmillo,Zacatecas,Mexico,"Fresmillo, Zacatecas, Mexico",23.658512,-102.00771
690,XEN,Mexico City,Ciudad Mexico,Mexico,"Mexico City, Ciudad Mexico, Mexico",19.43263,-99.133178
690,XERG,Monterrey,Nuevo Leon,Mexico,"Monterrey, Mexico",25.686613,-100.316116
690,XEWW,Tijuana,Baja California,Mexico,"Tijuana, Baja California, Mexico",32.53174,-117.019529
693,Bangladesh Betar,Dhaka,DX,Bangladesh,"Dhaka, Bangladesh",23.764386,90.389014
693,BBC 5,Droitwich,DX,England,"Droitwich, England",52.26851,-2.148607
700,CJLI,Calgary,AB,Canada,"Calgary, AB, Canada",51.045606,-114.057541
700,HJCX,Cali,DX,Colombia,"Cali, Colombia",3.410843,-76.581213
700,Radio Gosen,Santa Cruz de Moa,DX,Dominican Republic,"Santa Cruz de Moa, Dominican Republic",19.097403,-70.302803
700,Radio Sucre,Guayaquil,DX,Ecuador,"Guayaquil, Ecuador",-2.190057,-79.886867
700,XEETCH,Etchojoa,Sonora,Mexico,"Etchojoa, Sonora, Mexico",27.045938,-109.678
700,XEDKR,Guadalajara,Jalisco,Mexico,"Guadalajara, Mexico",20.659698,-103.349609
700,XEGD,Hidalgo del Parrel,Chihuahua,Mexico,"Hidalgo del Parrel, Chihuahua, Mexico",23.658512,-102.00771
700,XELX,Zitacuaro,Michoacán,Mexico,"Zitacuaro, Michoacán, Mexico",19.434401,-100.355314
702,JOKD,Kitami,DX,Japan,"Kitami, Japan",43.802939,143.894635
702,"Lao National Radio, Luang Prabang Radio (705 kHz)",Luang Prabang,DX,Lao PDR,"Luang Prabang, Lao PDR",19.890111,102.134444
702,Voice of Vietnam 2,Da Nang,DX,Vietnam,"Da Nang, Vietnam",16.068,108.212
710,CKVO,Clarenville,NL,Canada,"Clarenville, NL, Canada",48.16799,-53.964641
710,Radio Rebelde (710),La Julia,DX,Cuba,"La Julia, Cuba",22.807753,-82.263363
710,Radio Guama (710),La Palma,DX,Cuba,"La Palma, Cuba",22.748147,-83.554581
710,Radio Rebelde (710),Marti,DX,Cuba,"MArti, Cuba",22.945113,-80.916821
710,XEMP,Mexico City,Ciudad Mexico,Mexico,"Mexico City, Ciudad Mexico, Mexico",19.43263,-99.133178
711,Voice of Vietnam 1,Can Tho,DX,Vietnam,"Can Tho, Vietnam",10.036205,105.787266
720,Radio Guama (720),La Palma,DX,Cuba,"La Palma, Cuba",22.748147,-83.554581
720,IRIB World Service,Taybad,DX,Iran,"Taybad, Iran",34.740176,60.775513
720,XEJCC,Ciudad Juarez,Chihuahua,Mexico,"Ciudad Juarez, Mexico",31.69,-106.42
720,XEJAGC,Juan Aldama,Zacatecas,Mexico,"Juan Aldama, Zacatecas, Mexico",24.255657,-103.306924
720,XEDE,Saltillo,Coahuila,Mexico,"Saltillo, Coahuila, Mexico",25.423043,-100.992751
720,YNRC,Managua,DX,Nicaragua,"Managua, Nicaragua",12.154712,-86.273725
729,Radio Thailand,Nakon Ratchasima,DX,Thailand,"Nakon Ratchasima, Thailand",14.959217,102.04925
730,CKDM,Dauphin,MB,Canada,"Dauphin, MB, Canada",51.153509,-100.04425
730,CKAC,Montreal,QC,Canada,"Montreal, Canada",45.50888,-73.561668
730,CHMJ,Vancouver,BC,Canada,"Vancouver, BC, Canada",49.260872,-123.113952
730,HJCU,Bogotá,DX,Colombia,"Bogotá, Colombia",4.653382,-74.083633
730,Radio Progreso (730),La Fe,DX,Cuba,"La Fe, Cuba",21.7437,-82.755675
730,XESOS,Agua Prieta,Sonora,Mexico,"Agua Prieta, Sonora, Mexico",31.326749,-109.546346
730,XEHB,Hidalgo del Parral,Chihuahua,Mexico,"Hidalgo del Parral, Chihuahua, Mexico",27.115385,-105.764288
730,XEQ,Mexico CIty,Ciudad Mexico,Mexico,"Mexico CIty, Ciudad Mexico, Mexico",19.43263,-99.133178
730,XEX,Mexico City,Ciudad Mexico,Mexico,"Mexico City, Ciudad Mexico, Mexico",19.43263,-99.133178
738,BEL2,"Taiwan Chü Yuyeh Kuangpo Tientai, Baisha",DX,Taiwan,"Taiwan Chü Yuyeh Kuangpo Tientai, Baisha, Taiwan",23.973937,120.982018
740,CBX,Edmonton,AB,Canada,"Edmonton, AB, Canada",53.546205,-113.491241
740,CFZM,Toronto,ON,Canada,"Toronto, Canada",43.6532,-79.3832
740,XECAQ,Puerto Morelos,Quintana Roo,Mexico,"Puerto Morelos, Quintana Roo, Mexico",20.931763,-87.201181
740,XEQN,Torreon,Coahuila,Mexico,"Torreon, Coahuila, Mexico",25.542698,-103.410512
740,XEKV,Villahermosa,Tabasco,Mexico,"Villahermosa, Tabasco, Mexico",17.988466,-92.936633
747,JOIB,Sapporo,DX,Japan,"Sapporo, Japan",43.061936,141.354292
750,CBGY,Bonavista,NL,Canada,"Bonavista, NL, Canada",48.654176,-53.110338
750,CKJH,Melfort,SK,Canada,"Melfort, SK, Canada",52.861371,-104.613554
750,HJDK,Medellín,DX,Colombia,"Medellin, Colombia",6.269732,-75.60256
750,Radio Progreso (750),Palmira,DX,Cuba,"Palmira, Cuba",22.241457,-80.393102
750,HIDB,Santiago,DX,Dominican Republic,"Santiago, Dominican Republic",19.336389,-70.952128
750,Radio Jesus es el Senor,Santiago,DX,Dominican Republic,"Santiago, Dominican Republic",19.336389,-70.952128
750,XEJMN,Jesus Maria,Aguascalientes,Mexico,"Jesus Maria, Aguascalientes, Mexico",21.934555,-102.468452
760,HJAJ,Barranquilla,DX,Colombia,"Barranquilla, Colombia",11.010192,-74.823179
760,Radio Progreso (760),Guane,DX,Cuba,"Guane, Cuba",22.202023,-84.082915
760,XEEB,Ciudad Obregon,Sonora,Mexico,"Ciudad Obregon, Sonora, Mexico",27.484662,-109.933778
760,XEZZ,Guadalajara,Jalisco,Mexico,"Guadalajara, Mexico",20.659698,-103.349609
760,XENY,Nogales,Sonora,Mexico,"Nogales, Sonora, Mexico",31.328506,-110.945047
760,XERA,San Cristobal de las Casas,Chiapas,Mexico,"San Cristobal de las Casas, Chiapas, Mexico",16.735377,-92.63873
760,XEABC,San Sebastián Chimalpa,Ciudad Mexico,Mexico,"San Sebastián Chimalpa, Ciudad Mexico, Mexico",23.658512,-102.00771
760,WORA,Mayagüez,PR,Puerto Rico,"Mayagüez, PR, Puerto Rico",18.211635,-67.095357
770,CHQR,Calgary,AB,Canada,"Calgary, AB, Canada",51.045606,-114.057541
770,HJJX,Bogotá,DX,Colombia,"Bogotá, Colombia",4.653382,-74.083633
770,Radio Artemisa (770),La Salud,DX,Cuba,"La Salud, Cuba",22.873244,-82.421861
770,Radio Rebelde (770),Las Tunas,DX,Cuba,"Las Tunas, Cuba",21.088704,-76.812165
770,YSKL,San Salvador,DX,El Salvador,"San Salvador, El Salvador",13.697629,-89.191156
770,XEML,Apatzingan,Michoacán,Mexico,"Apatzingan, Michoacán, Mexico",18.968171,-102.469397
770,XEFRTM,Fresnillo,Zacatecas,Mexico,"Fresnillo, Mexico",23.18126,-102.87136
770,XEREV,Los Mochis,Sinaloa,Mexico,"Los Mochis, Sinaloa, Mexico",25.792806,-108.990188
770,XEACH,Monterrey,Nuevo Leon,Mexico,"Monterrey, Mexico",25.686613,-100.316116
770,XEANT,Tancanhuitz de los Santos,San Luis Potosí,Mexico,"Tancanhuitz de los Santos, San Luis Potosí, Mexico",21.571336,-98.897781
774,3LO - ABC Melbourne,Melbourne,DX,Australia,"Melbourne, Australia",-37.814245,144.963173
774,JOUB,Akita,DX,Japan,"Akita, Japan",39.68988,140.342608
774,Radio Nacional,Valencia,DX,Spain,"Valencia, Spain",39.469707,-0.376335
780,ZBVI,Tortola,DX,British Virgin Islands,"Tortola, British Virgin Islands",18.421057,-64.638833
780,HJFV,Pasto,DX,Colombia,"Pasto, Colombia",1.214028,-77.27851
780,XEXY,Ciudad Altamirano,Guerrero,Mexico,"Ciudad Altamirano, Guerrero, Mexico",18.358454,-100.668187
780,XEGLO,Guelatao de Juarez,Oaxaca,Mexico,"Guelatao de Juarez, Oaxaca, Mexico",17.314064,-96.499173
780,XETMEP,Tampico,Tamaulipas,Mexico,"Tampico, Tamaulipas, Mexico",22.27011,-97.894867
790,Radio Reloj (790),Pinar del Rio,DX,Cuba,"Pinar del Rio, Cuba",22.312447,-83.938483
790,XENT,La Paz,Baja California Sur,Mexico,"La Paz, Baja California Sur, Mexico",24.161995,-110.315853
790,WKRD,Louisville,VI,US Virgin Islands,"Louisville, VI, US Virgin Islands",17.789187,-64.708057
800,PJB,Kralendijk,DX,Bonaire,"Kralendijk, Bonaire",12.147287,-68.274021
800,CJBQ,Belleville,ON,Canada,"Belleville, ON, Canada",44.243633,-77.36076
800,CJAD,Montreal,QC,Canada,"Montreal, Canada",45.50888,-73.561668
800,CHAB,Moose Jaw,SK,Canada,"Moose Jaw, SK, Canada",50.396721,-105.535666
800,CKOR,Penticton,BC,Canada,"Penticton, BC, Canada",49.500327,-119.593249
800,CKLW,Windsor,ON,Canada,"Windsor, Canada",42.317432,-83.026772
800,Radio Artemisa (800),Artemisa,DX,Cuba,"Artemisa, Cuba",22.826523,-82.925932
800,XEERG,Ojo de Agua,Nuevo Leon,Mexico,"Ojo de Agua, Mexico",19.68028,-99.01
800,XESPN,Tijuana,Baja California,Mexico,"Tijuana, Baja California, Mexico",32.53174,-117.019529
810,ZNS3,Freeport,DX,Bahamas,"Freeport, Bahamas",26.535681,-78.695362
810,HJCY,Bogotá,DX,Colombia,"Bogotá, Colombia",4.653382,-74.083633
810,Radio Progreso (810),Guantanamo,DX,Cuba,"Guantanamo, Cuba",20.14318,-75.203478
810,HRLP24,Choluteca,DX,Honduras,"Choluteca, Honduras",13.37142,-87.071396
810,XERB,Cozumel,Quintana Roo,Mexico,"Cozumel, Quintana Roo, Mexico",20.43206,-86.920691
810,XEHT,Huamantla,Tlaxcala,Mexico,"Huamantla, Tlaxcala, Mexico",19.323332,-97.914567
810,XEEMM,Salamanca,Guanajuato,Mexico,"Salamanca, Guanajuato, Mexico",20.651136,-101.166767
810,Radio Thailand,Nongkhai,LA,Thailand,"Nongkhai, LA, Thailand",14.897192,100.83273
819,KCBS,Pyongyang,DX,North Korea,"Pyongyang, North Korea",39.016798,125.747361
820,CHAM,Hamilton,ON,Canada,"Hamilton, ON, Canada",43.25608,-79.872858
820,CHIM,Hamilton,ON,Canada,"Hamilton, ON, Canada",43.25608,-79.872858
820,Radio Ciudad de la Habana (820),Arroyo Arenas,DX,Cuba,"Arroyo Arenas, Cuba",23.03829,-82.475343
820,Radio Reloj (820),Ciego de Avila,DX,Cuba,"Ciego de Avila, Cuba",21.747669,-78.731492
820,XEBA,Guadalajara,Jalisco,Mexico,"Guadalajara, Mexico",20.659698,-103.349609
820,XEABCA,Mexicali,Baja California,Mexico,"Mexicali, Baja California, Mexico",32.624531,-115.452604
828,Magic 828,Klipheuwel,DX,South Africa,"Klipheuwel, South Africa",-33.717949,18.707962
830,HJDM,Medellín,DX,Colombia,"Medellin, Colombia",6.269732,-75.60256
830,HIJB,Santo Domingo,DX,Dominican Republic,"Santo Domingo, Dominican Republic",18.471386,-69.891844
830,Radio Huancavilca,Guayaquil,DX,Ecuador,"Guayaquil, Ecuador",-2.190057,-79.886867
830,XEPUR,Cheran,Michoacán,Mexico,"Cheran, Michoacán, Mexico",19.7393,-101.975827
830,XEITE,Mexico City,Ciudad Mexico,Mexico,"Mexico City, Ciudad Mexico, Mexico",19.43263,-99.133178
830,XETLX,Tlaxiaco,Oaxaca,Mexico,"Tlaxiaco, Oaxaca, Mexico",17.236427,-97.698952
830,YVLT,San Antonio de los Altos,DX,Venezuela,"San Antonio de los Altos, Venezuela",10.375135,-66.966541
840,CKBX,100 Mile House,BC,Canada,"100 Mile House, BC, Canada",51.642787,-121.295694
840,CFCW,Camrose,AB,Canada,"Camrose, AB, Canada",53.013131,-112.840576
840,HJKK,Neiva,DX,Colombia,"Neiva, Colombia",2.925704,-75.289394
840,Radio Revolucion (840),Palma Soriano,DX,Cuba,"Palma Soriano, Cuba",20.212669,-75.997394
840,Radio Dobleve (840),Santa Clara,DX,Cuba,"Santa Clara, Cuba",22.40694,-79.96472
840,4VEH,Cap Haitien,DX,Haiti,"Cap Haitien, Haiti",19.759524,-72.200807
840,HRQW,Tela,DX,Honduras,"Tela, Honduras",15.782483,-87.451403
840,XEXXX,Tamazula de Gordiano,Jalisco,Mexico,"Tamazula de Gordiano, Jalisco, Mexico",19.685365,-103.170067
840,XETEY,Tepic,Nayarit,Mexico,"Tepic, Nayarit, Mexico",21.511916,-104.891589
850,Radio Reloj (850),Nueva Gerona,DX,Cuba,"Nueva Gerona, Cuba",21.884696,-82.803841
850,XECPAF,Jalpan de Serra,Querétaro,Mexico,"Jalpan de Serra, Querétaro, Mexico",21.384141,-99.32646
850,XEZF,Mexicali,Baja California,Mexico,"Mexicali, Baja California, Mexico",32.624531,-115.452604
850,WABA,Aguadilla,PR,Puerto Rico,"Aguadilla, PR, Puerto Rico",18.449655,-67.118476
850,CX16,Montevideo,DX,Uruguay,"Montevideo, Uruguay",-34.905892,-56.19131
855,Radio Nacional (Spain),Murcia,DX,Spain,"Murcia, Spain",37.934752,-1.113103
860,CFPR,Prince Rupert,BC,Canada,"Prince Rupert, BC, Canada",54.312657,-130.32549
860,CBKF-2,Saskatoon,SK,Canada,"Saskatoon, SK, Canada",52.131802,-106.660767
860,CKBF,Saskatoon,SK,Canada,"Saskatoon, SK, Canada",52.131802,-106.660767
860,CJBC,Toronto,ON,Canada,"Toronto, Canada",43.6532,-79.3832
860,Radio Reloj (860),Bolondrón,DX,Cuba,"Bolondrón, Cuba",22.762315,-81.446733
860,XEUN,Atzacoalco,Ciudad Mexico,Mexico,"Atzacoalco, Ciudad Mexico, Mexico",19.509851,-99.102329
860,XECTL,Chetumal,Quintana Roo,Mexico,"Chetumal, Quintana Roo, Mexico",18.502438,-88.295795
860,XENL,Monterrey,Nuevo Leon,Mexico,"Monterrey, Mexico",25.686613,-100.316116
860,XEMO,Tijuana,Baja California,Mexico,"Tijuana, Baja California, Mexico",32.53174,-117.019529
864,IRIB - R. Kermanshah,Qasr-e Shirin,DX,Iran,"Qasr-e Shirin, Iran",34.515594,45.580016
864,HLKR,Gangneung,DX,South Korea,"Gangneung, South Korea",37.752531,128.875952
870,LRA1,Buenos Aires,DX,Argentina,"Buenos Aires, Argentina",-34.609558,-58.38879
870,CFSX,Stephenville,NL,Canada,"Stephenville, NL, Canada",48.545202,-58.587115
870,HJAY,Barranquilla,DX,Colombia,"Barranquilla, Colombia",11.010192,-74.823179
870,Radio Reloj (870),Baracoa,DX,Cuba,"Baracoa, Cuba",20.347787,-74.496865
870,Radio Reloj (870),Bueycito,DX,Cuba,"Bueycito, Cuba",20.238163,-76.772714
870,Radio Reloj (870),Sancti Spiritus,DX,Cuba,"Sancti Spiritus, Cuba",21.726128,-79.613293
870,HIB59,La Vega,DX,Dominican Republic,"La Vega, Dominican Republic",19.03115,-70.727425
870,XEGRO,Chilpancingo,Guerrero,Mexico,"Chilpancingo, Guerrero, Mexico",17.554215,-99.504842
870,XETAR,Guachochi,Chihuahua,Mexico,"Guachochi, Chihuahua, Mexico",27.144669,-107.205301
873,KCBS,Sinuiju,DX,North Korea,"Sinuiju, North Korea",40.094076,124.397756
873,RADIO ZARAGOZA SER,Zaragoza,DX,Spain,"Zaragoza, Spain",41.65606,-0.87734
880,CKLQ,Brandon,MB,Canada,"Brandon, MB, Canada",49.851114,-99.960892
880,CHQT,Edmonton,AB,Canada,"Edmonton, AB, Canada",53.546205,-113.491241
880,Radio Progreso (880),Pinar Del Rio,DX,Cuba,"Pinar Del Rio, Cuba",22.312447,-83.938483
880,WYKO,Sabana Grande,PR,Puerto Rico,"Sabana Grande, PR, Puerto Rico",18.087309,-66.949762
882,BBC Radio Wales,Washford,DX,England,"Washford, England",51.160638,-3.362015
882,"Saudi Broadcasting Authority, Quran R",Dammam,DX,Saudi Arabia,"Dammam, Saudi Arabia",26.436782,50.103999
882,SBA Quran Radio,Dammam,DX,Saudi Arabia,"Dammam, Saudi Arabia",26.436782,50.103999
890,CJDC,Dawson Creek,BC,Canada,"Dawson Creek, BC, Canada",55.760531,-120.236445
890,HJCE,Bogotá,DX,Colombia,"Bogota, Colombia",4.653382,-74.083633
890,HJPM,Santa Marta,DX,Colombia,"Santa Marta, Colombia",11.232094,-74.195092
890,Radio Progreso (890),Chambas,DX,Cuba,"Chambas, Cuba",22.193985,-78.911304
890,Radio Revolucion (890),Santiago de Cuba,DX,Cuba,"Santiago de Cuba, Cuba",20.0289,-75.829
891,5AN,Adelaide South Australia,DX,Australia,"Adelaide South Australia, Australia",-34.920631,138.603969
891,JOKD NHK Radio 1,Kitami,DX,Japan,"Kitami, Japan",43.802939,143.894635
891,KCBS,Sinuiju,DX,North Korea,"Sinuiju, North Korea",40.094076,124.397756
891,"HLKB, Korean Broadcasting Service 1",Busan,DX,South Korea,"Busan, South Korea",35.179953,129.075236
891,BCC Tainan,Tainan,DX,Taiwan,"Tainan, Taiwan",22.991235,120.184982
900,CHML,Hamilton,ON,Canada,"Hamilton, ON, Canada",43.25608,-79.872858
900,CKBI,Prince Albert,SK,Canada,"Prince Albert, SK, Canada",53.202029,-105.755896
900,CNR,Golmud,DX,China,"CNR2, Golmud, China",35.000074,104.999927
900,Radio Progreso (900),San Germán,DX,Cuba,"San Germán, Cuba",20.598318,-76.134736
900,XEW,Mexico City,Ciudad Mexico,Mexico,"Mexico City, Ciudad Mexico, Mexico",19.43263,-99.133178
909,BBC Radio 5,Moorside Edge,DX,United Kingdom,"Moorside Edge, United Kingdom",53.635164,-1.894836
910,CKDQ,Drumheller,AB,Canada,"Drumheller, AB, Canada",51.416933,-112.640238
910,TIQM,San Jose,DX,Costa Rica,"San Jose, Costa Rica",9.932771,-84.079614
910,Radio Cadena Agramonte (910),Camaguey,DX,Cuba,"Camaguey, Cuba",21.379176,-77.918368
910,Radio Metropolitana (910),Villa María,DX,Cuba,"Villa María, Cuba",23.10248,-82.287114
910,HRVS,Tegucigalpa,DX,Honduras,"Tegucigalpa, Honduras",14.105814,-87.204705
910,XEAO,Mexicali,Baja California,Mexico,"Mexicali, Baja California, Mexico",32.624531,-115.452604
910,HJMY,San Andrés,DX,San Andres y Providencia,"San Andrés, San Andres y Providencia",12.537598,-81.720416
910,YVRQ,Caracas,DX,Venezuela,"Caracas, Venezuela",10.506093,-66.914601
918,National Radio of Kampuchea,Phnom Penh,DX,Kampuchea,"Phnom Penh, Kampuchea",11.573039,104.857807
920,CFRY,Portage La Prairie,MB,Canada,"Portage La Prairie, MB, Canada",49.972422,-98.289185
920,CKNX,Wingham,ON,Canada,"Wingham, Canada",43.89,-81.31
920,XELT,Guadalajara,Jalisco,Mexico,"Guadalajara, Mexico",20.659698,-103.349609
920,XERE,Salvatierra,Guanajuato,Mexico,"Salvatierra, Guanajuato, Mexico",20.192655,-100.865993
920,ZP1,Nueva Asuncion,DX,Paraguay,"Nueva Asuncion, Paraguay",-25.252016,-57.641539
930,CJCA,Edmonton,AB,Canada,"Edmonton, AB, Canada",53.546205,-113.491241
930,CFBC,St John,NB,Canada,"St John, NB, Canada",45.278799,-66.058519
930,CJYQ,St Johns,NL,Canada,"St Johns, NL, Canada",56.692284,-60.937319
930,Radio Reloj (930),La Jaiba,DX,Cuba,"La Jaiba, Cuba",23.025622,-81.587727
930,XESAME,Saltillo,Coahuila,Mexico,"Saltillo, Coahuila, Mexico",25.423043,-100.992751
930,XETLA,Tlaxiaco,Oaxaca,Mexico,"Tlaxiaco, Oaxaca, Mexico",17.236427,-97.698952
940,ZYJ453,Rio de Janeiro,DX,Brazil,"Rio de Janeiro, Brazil",-22.911014,-43.209373
940,CFNV,Montreal,QC,Canada,"Montreal, Canada",45.50888,-73.561668
940,CJGX,Yorkton,SK,Canada,"Yorkton, SK, Canada",51.212045,-102.461243
940,XEMMM,Mexicali,Baja California,Mexico,"Mexicali, Baja California, Mexico",32.624531,-115.452604
940,XEQ,México City,Ciudad Mexico,Mexico,"México City, Ciudad Mexico, Mexico",19.43263,-99.133178
940,XERLA,Santa Rosalia,Chihuahua,Mexico,"Santa Rosalia, Chihuahua, Mexico",26.681748,-105.456666
940,WIPR,San Juan,PR,Puerto Rico,"San Juan, Puerto Rico",18.45,-66.07
945,STP,Pinheira,DX,Sao Tome & Principe,"Pinheira, Sao Tome & Principe",0.326412,6.730094
950,CFAM,Altona,MB,Canada,"Altona, MB, Canada",49.103111,-97.558361
950,Radio Reloj (950),Arroyo Arenas,DX,Cuba,"Arroyo Arenas, Cuba",23.03829,-82.475343
