Frequency,Station Call Letters,Station City,Station State/Province,Station Country,Concatenated Station Location,Station Lat,Station Long
1460,CJOY,Guelph,ON,Canada,"Guelph, ON, Canada",43.546052,-80.249328
1460,XEYC,Ciudad Juárez,Chihuahua,Mexico,"Ciudad Juárez, Chihuahua, Mexico",31.690798,-106.425321
1460,XECB,"San Luis Rio Colorado, Sonora",Sonora,Mexico,"San Luis Rio Colorado, Sonora, Sonora, Mexico",32.439331,-114.772086
1467,TWR Europe,Roumoules,DX,France,"Roumoules, France",43.825839,6.129886
1467,"HLKN, KBS Network 1",Mokpo-Yeongam,DX,Korea,"Mokpo-Yeongam, Korea",34.758623,126.380506
1470,XEAI,Mexico City,Ciudad Mexico,Mexico,"Mexico City, Ciudad Mexico, Mexico",19.43263,-99.133178
1470,XERCN,Tijuana,Baja California,Mexico,"Tijuana, Baja California, Mexico",32.53174,-117.019529
1470,"OAU4B, Oxígeno Classics",Lima,DX,Peru,"Lima, Peru",-12.045981,-77.030591
1470,OAU6E - Radio Victoria,Arequipa,DX,Peru,"Radio Victoria, Arequipa, Peru",-16.402494,-71.532128
1470,WKUM,Orocovis,PR,Puerto Rico,"Orocovis, PR, Puerto Rico",18.220601,-66.434561
1476,Museumsradio,Bad Ischl,DX,Austria,"Bad Ischl, Austria",47.71153,13.623933
1476,Trans World Radio,Parakou,DX,Benin,"Trans World Radio, Parakou, Benin",9.529347,2.258441
1476,Sport Nation,Auckland,DX,New Zealand,"Auckland, New Zealand",-36.852095,174.76318
1476,Radio Keralam,Ras al-Khaimah,DX,UAE,"Radio Keralam, Ras al-Khaimah, UAE",24.000249,53.999483
1480,Radio Bendita,Trinidad,DX,Bolivia,"TRINIDAD, BOLIVIA",-14.834944,-64.904494
1480,XEVIC,Ciudad Victoria,Tamaulipas,Mexico,"Ciudad Victoria, Tamaulipas, Mexico",23.738985,-99.144135
1480,XEZJ,Guadalajara,Jalisco,Mexico,"Guadalajara, Mexico",20.659698,-103.349609
1480,XETKR,Guadalupe,Nuevo Leon,Mexico,"Guadalupe, Nuevo Leon, Mexico",25.675111,-100.215175
1480,XECARH,Ixmiquilpan,Hidalgo,Mexico,"Ixmiquilpan, Hidalgo, Mexico",20.481944,-99.218056
1480,OAZ7G - Radio Espinar,Espinar,DX,Peru,"Radio Espinar, Espinar, Peru",-6.86997,-75.045851
1480,OCX2C - Radio Otifer,Carabamba,DX,Peru,"Radio Otifer, Carabamba, Peru",-6.86997,-75.045851
1480,Radio Espinar,Yauri,DX,Peru,"Yauri, Peru",-14.793008,-71.412802
1480,WMDD,Fajardo,PR,Puerto Rico,"Fajardo, PR, Puerto Rico",18.327803,-65.656183
1490,CJSN,Shaunovan,SK,Canada,"Shaunovan, SK, Canada",61.066692,-107.991707
1490,Radio Universidad,Vina del Mar,DX,Chile,"Vina del Mar, Chile",-33.024453,-71.551764
1490,HC0171 - Radio Santa Maria,Azogues,DX,Ecuador,"Radio Santa Maria, Azogues, Ecuador",-1.339767,-79.366697
1490,XECJC,Cuidad Juarez,Chihuahua,Mexico,"Cuidad Juarez, Chihuahua, Mexico",23.658512,-102.00771
1490,XEYTM,Teocelo,Veracruz,Mexico,"Teocelo, Veracruz, Mexico",19.37322,-96.955016
1494,DWAR Abante Radyo,Valenzuela - Caloong,DX,Philippines,"Valenzuela - Caloong, Philippines",12.750349,122.73121
1500,XEFL,Guanajuato,Guanajuato,Mexico,"Guanajuato, Guanajuato, Mexico",21.015885,-101.25284
1500,XEDF,Mexico City,Ciudad Mexico,Mexico,"Mexico City, Ciudad Mexico, Mexico",19.43263,-99.133178
1500,OBX4I - Radio Santa Rosa,Lima,DX,Peru,"Lima, Peru",-12.015047,-77.097324
1500,Radio 2000,Cumana,DX,Venezuela,"Cumana, Venezuela",10.449571,-64.157805
1500,YVRZ,Cumana,DX,Venezuela,"Cumana, Venezuela",10.449571,-64.157805
1503,CHIN,Toronto,ON,Canada,"Toronto, Canada",43.6532,-79.3832
1503,Holy Koran Radio,El Arish,DX,Egypt,"El Arish, Egypt",31.123641,33.798352
1503,Gold Sport,Wellington,DX,New Zealand,"Wellington, New Zealand",-41.288795,174.777211
1510,ZYK770,Salto,DX,Brazil,"Salto, Brazil",-23.198998,-47.291368
1510,ZYH608,Sao Benedito,DX,Brazil,"Sao Benedito, Brazil",-4.048435,-40.864601
1510,HC0034 - Radio Monumental,Quito,DX,Ecuador,"Quito, Ecuador",-0.220164,-78.512327
1510,TGDX,Ciudad de Guatemala,DX,Guatemala,"Ciudad de Guatemala, Guatemala",14.641614,-90.513284
1510,XEPBGR,Guadalajara,Jalisco,Mexico,"Guadalajara, Mexico",20.659698,-103.349609
1510,WBSG,Lajas,DX,Puerto Rico,"Lajas, Puerto Rico",18.006141,-67.035185
1512,Radio Ardabil,Ardabil,DX,Iran,"Ardabil, Iran",38.458398,47.9313
1520,ZYJ931,Tobias Barreto,DX,Brazil,"Tobias Barreto, Brazil",-11.187872,-38.00304
