FREQ,CALL,STATE,CITY,PWR_D,PWR_N,PWR_C,MODE,LAT,LON,STATUS,CALL_HIST,County,FIPS,Format,Network/Slogan,Notes
550,WGR,NY,BUFFALO,5000.0,5000.0,,,42.7698,-78.8434,LICEN,,Erie,36029,SPORTS,ABC W1S SPORTS R. 550,
550,WKRC,OH,CINCINNATI,5000.0,1000.0,,,39.0081,-84.4441,LICEN,"WKRC, WLWA, WCKY",Warren,39165,TALK,NBC KRC THE TALK STN,EX-WKRC/WLWA/WCKY
550,KOAC,OR,CORVALLIS,5000.0,5000.0,,,44.6348,-123.1949,LICEN,,Benton,41003,NEWS/TALK,NPR,//KOPB-FM 91.5
550,WPAB,PR,PONCE,5000.0,5000.0,,,17.9889,-66.6296,LICEN,,Ponce,72113,SPANISH NEWS/TALK,"PAB 550, ECO 93",//W226CS 93.1
550,WSJW,RI,PAWTUCKET,1000.0,500.0,,,41.9051,-71.3989,LICEN,"WGNG, WICE, WPNW, WLKW, WICE, WDDZ, WBZS",Providence,44007,RELIGION,RELEVANT RADIO,EX-WICE/WBZS //W298DE 107.5
550,KCRS,TX,MIDLAND,5000.0,1000.0,,,32.0696,-102.0299,LICEN,,Midland,48329,NEWS/TALK,FOX VOICE OF WEST TX,"//K238AZ 95.5, K248AR 97.5"
550,KTSA,TX,SAN ANTONIO,5000.0,5000.0,,,29.4963,-98.4153,LICEN,,Medina,48325,NEWS/TALK,ABC BNN NEWSTALK 550,//K296GK 107.1
550,WSVA,VA,HARRISONBURG,5000.0,1000.0,,,38.4512,-78.9078,LICEN,,Rockingham,51165,NEWS/TALK,ABC SRN NEWSTALK 92.1,//W221CF 92.1
550,WDEV,VT,WATERBURY,5000.0,1000.0,,,44.3548,-72.7515,LICEN,,Washington,50023,TALK/SPORTS/AC,AP FSR RADIO VERMONT,"//FM 96.5, 98.3, 101.9"
550,KARI,WA,BLAINE,5000.0,2500.0,,,48.954,-122.7446,LICEN,,Whatcom,53073,RELIGION,WORD RADIO 55,//K239CY 95.7
550,WSAU,WI,WAUSAU,15000.0,20000.0,,,44.8572,-89.5871,LICEN,,Marathon,55073,NEWS/TALK,FOX 550 NEWSTALKSPORTS,"//FM 99.9, W236CO 95.1"
560,WOOF,AL,DOTHAN,5000.0,118.0,,,31.2182,-85.3527,LICEN,,Houston,1069,SPORTS,FSR ESPN THE BALL,"//W261AT 100.1,W296DQ 107.1"
560,KBLU,AZ,YUMA,1000.0,1000.0,,,32.7234,-114.6436,LICSL,,Yuma,4027,SILENT,FOX NEWS TALK 560,
560,KLZ,CO,DENVER,5000.0,5000.0,,,39.8433,-104.9544,LICEN,,Arapahoe,8005,TALK,SRN THE HOME STATION,//K264BO 100.7
560,WQAM,FL,MIAMI,4100.0,1000.0,,,25.8398,-80.1895,LICEN,,Miami-Dade,12086,SPORTS,W1S SPORTS 104.3,//FM 104.3
560,WIND,IL,CHICAGO,5000.0,5000.0,,,41.565,-87.4197,LICEN,,Cook,17031,TALK,FOX SRN 560 THE ANSWER,
560,WMIK,KY,MIDDLESBORO,2500.0,88.0,,,36.6273,-83.7144,LICEN,,Bell,21013,S. GSPL,FAMILY CHRISTIAN RADIO,
560,WHYN,MA,SPRINGFIELD,5000.0,1000.0,,,42.1937,-72.6834,LICEN,,Hampden,25013,NEWS/TALK,FOX NEWSRADIO,//W255DL 98.9
560,WFRB,MD,FROSTBURG,5000.0,55.0,,,39.6835,-78.965,LICEN,,Garrett,24023,C&W,REAL COUNTRY WILLIE FM,//W294CF 106.7
560,WGAN,ME,PORTLAND,5000.0,5000.0,,,43.6901,-70.3176,LICEN,,Cumberland,23005,NEWS/TALK,ABC SRN WW1 NEWSRADIO,//W253DA 98.5
560,WRDT,MI,MONROE,,13.0,,,42.4536,-83.1638,LICEN,"WHND, WLLZ",Monroe,26115,RELIGION,THE WORD STATION,EX-WHND/WLLZ //W296DY 107.1
560,WRDT,MI,MONROE,500.0,,,,41.8912,-83.4274,LICEN,"WHND, WLLZ",Monroe,26115,RELIGION,THE WORD STATION,EX-WHND/WLLZ //W296DY 107.1
560,WEBC,MN,DULUTH,5000.0,5000.0,,,46.6436,-91.986,LICEN,,St. Louis,27137,SPORTS,FSR THE FAN,//W293CT 106.5
560,KWTO,MO,SPRINGFIELD,5000.0,4000.0,,,36.9445,-93.2216,LICEN,,Greene,29077,NEWS/TALK,FOX WW1 NEWSTALK RADIO,//K227AO 93.3
560,KMON,MT,GREAT FALLS,5000.0,5000.0,,,47.4247,-111.2897,LICEN,,Cascade,30013,C&W,ABC K'MON COUNTRY,
560,WGAI,NC,ELIZABETH CITY,1000.0,500.0,,,36.3379,-76.2466,LICEN,,Pasquotank,37139,BLK GSPL,GREGORY GOSPEL RADIO,
560,WFIL,PA,PHILADELPHIA,5000.0,5000.0,,,40.0951,-75.2768,LICEN,"WEAZ, WBEB, WPHY",Burlington,34005,RELIGION,SRN CHRISTIAN RADIO,EX-WBEB/WEAZ/WHPY
560,WVOC,SC,COLUMBIA,5000.0,5000.0,,,34.0321,-81.1417,LICEN,"WIS, WVOC, WXBT",Lexington,45063,NEWS/TALK/SPORTS,FOX NEWSTALK & SPORTS,EX-WXBT //W278CY 103.5
560,WNSR,TN,BRENTWOOD,1000.0,75.0,,,36.1412,-86.7564,LICEN,"WTBN, WWCR, WYOR",Davidson,47037,SPORTS,W1S SPORTSRADIO 560,EX-WHEW/WYOR //W240CA 95.9
560,WHBQ,TN,MEMPHIS,5000.0,1000.0,,,35.2534,-90.0476,LICEN,,Shelby,47157,SPORTS,FSR SPORTS 56 & 98.5,//W253DF 98.5
560,KLVI,TX,BEAUMONT,5000.0,5000.0,,,30.0458,-93.8688,LICEN,,Jefferson,48245,TALK/SPORTS,FOX FSR WW1 NEWSTALK,
560,KPQ,WA,WENATCHEE,5000.0,5000.0,,,47.4532,-120.3298,LICEN,,Chelan,53007,NEWS/TALK,ABC NEWSRADIO 560,//K269HC 101.7
560,WJLS,WV,BECKLEY,4500.0,470.0,,,37.759,-81.1865,LICEN,,Raleigh,54081,NEWS/TALK/C&W,FOX PROUD TO LIVE HERE,//W281AJ 104.1
567,KGUM,GU,AGANA,10000.0,10000.0,,,13.3911,144.7617,LICEN,KATB,Guam,66010,,,
570,WAAX,AL,GADSDEN,5000.0,500.0,,,33.9793,-86.0025,LICEN,,Etowah,1055,TALK,FOX NEWSTALK BIG WAX,//W270DQ 101.9
570,KCFJ,CA,ALTURAS,5000.0,42.0,,,41.3054,-120.5149,LICEN,"KCNO, KKFJ",Modoc,6049,ADLT STNDS,WW1 AMERICAS BEST,EX-KCNO/KKFJ
570,KLAC,CA,LOS ANGELES,5000.0,5000.0,,,34.0697,-118.1943,LICEN,,Los Angeles,6037,SPORTS,FSR FOX LA SPORTS,
570,WTBN,FL,PINELLAS PARK,250.0,730.0,,,27.9995,-82.7001,LICEN,"WPLP, WTKN, WHNZ",Pinellas,12103,RELIGION,SRN FAITH TALK,//WLCC-760
570,KUAI,HI,ELEELE,1000.0,1000.0,,,21.9888,-159.4031,LICEN,"KIVM, KIPO, KQNG",Kauai,15007,C&W,KAUAI'S COUNTRY,EX-KQNG //K283CQ 104.5
570,WKYX,KY,PADUCAH,1000.0,500.0,,,37.0148,-88.6128,LICEN,"WKYX, WBMP",McCracken,21145,URBAN HIPHOP,102.5 100.9 THE BEAT,EX-WKYX
570,WIDS,KY,RUSSELL SPRINGS,500.0,42.0,,,37.0942,-85.0802,LICEN,,Russell,21207,S. GSPL,SRN TRI-STATE GOSPEL,"//WIOK 107.5, W240DV 95.9"
570,WWRC,MD,BETHESDA,5000.0,1000.0,,,39.1343,-77.3036,LICEN,"WGMS, WTEM, WWRC, WTNT, WSPZ",Montgomery,24031,TALK,SRN WW1 THE ANSWER,EX-WSPZ //WRCW-1250
570,WWNC,NC,ASHEVILLE,5000.0,5000.0,,,35.5971,-82.6065,LICEN,,Buncombe,37021,TALK,FOX NEWSRADIO 570 92.9,//W225CJ 92.9
570,WQDR,NC,RALEIGH,1000.0,40.0,,,35.7932,-78.7611,LICEN,"WLLE, WRDT, WDTF, WDNZ, WDOX, WQDR, WFNL, WQDR, WPLW",Wake,37183,CLASSIC ROCK,TRIANGLES ROCK FM,"//W262CZ 100.3, W225DF 92.9"
570,KWML,NM,LAS CRUCES,5000.0,155.0,,,32.3092,-106.8239,LICEN,"KGRT, KSNM, KGRT",Doña Ana,35013,URBAN AC,FOX KOOL 104.5,EX-KSNM/KGRT //K283CG 104.5
570,WMCA,NY,NEW YORK,5000.0,5000.0,,,40.7529,-74.1038,LICEN,,Bergen,34003,RELIGION,SRN THE MISSION,//W272DX 102.3
570,WSYR,NY,SYRACUSE,5000.0,5000.0,,,42.987,-76.1521,LICEN,,Onondaga,36067,NEWS/TALK,FOX NEWSRADIO FM 106.9,//FM 106.9
570,WKBN,OH,YOUNGSTOWN,5000.0,5000.0,,,40.9853,-80.6004,LICEN,,Mahoning,39099,NEWS/TALK,ABC NEWSRADIO 570,
570,WNAX,SD,YANKTON,5000.0,5000.0,,,42.9131,-97.3164,LICEN,,Yankton,46135,NEWS/TALK/SPORTS,FOX VOICE OF MIDWEST,//K245DA 96.9
570,KLIF,TX,DALLAS,5000.0,2400.0,,,32.9448,-96.9406,LICEN,"KLIF, KYII",Dallas,48113,NEWS/TALK,FOX REAL NEWS & INFO,EX-KKWM
570,KNRS,UT,SALT LAKE CITY,5000.0,5000.0,,,40.8191,-111.933,LICEN,"KLUB, KISN, KNRS, KACP",Salt Lake,49035,NEWS/TALK,FOX TALKRADIO 105.9,EX-KISN/KACP //FM 105.9
570,KVI,WA,SEATTLE,5000.0,5000.0,,,47.4218,-122.4301,LICEN,,Kitsap,53035,TALK,ABC TALKRADIO 570,
570,WMAM,WI,MARINETTE,250.0,100.0,,,45.1005,-87.6251,LICEN,,Marinette,55075,SPORTS,W1S VSIN SPORTS R. 570,//W283DD 104.5
580,WACQ,AL,TUSKEGEE,500.0,139.0,,,32.3768,-85.6577,LICEN,WBIL,Macon,1087,CLASSIC ROCK,FOX CLASSIC HITS 580,//W253CZ 98.5
580,KSAZ,AZ,MARANA,5000.0,390.0,,,32.4531,-111.2851,LICEN,KJMM,Pima,4019,SPANISH RELIGION,ESTACION DE LA FAMILIA,
580,KMJ,CA,FRESNO,50000.0,50000.0,,,36.6591,-119.3473,LICEN,,Fresno,6019,NEWS/TALK,FOX WW1 NOW 105.9,//FM 105.9
580,KUBC,CO,MONTROSE,5000.0,1000.0,,,38.4256,-107.8831,LICEN,,Montrose,8085,CLASSIC ROCK,ABC THE CANYON,//K283CZ 104.5
580,WDBO,FL,ORLANDO,5000.0,5000.0,,,28.62,-81.4095,LICEN,,Lake,12069,NEWS/TALK,ABC FOX WW1 NEWSTALK,//W297BB 107.3
580,WGAC,GA,AUGUSTA,,840.0,,,33.5249,-81.9084,LICEN,,Aiken,45003,NEWS/TALK,FOX NEWSTALK 580,//FM 95.1
580,WGAC,GA,AUGUSTA,5000.0,,,,33.5124,-82.0798,LICEN,,Aiken,45003,NEWS/TALK,FOX NEWSTALK 580,//FM 95.1
580,KIDO,ID,NAMPA,20000.0,4400.0,,,43.4288,-116.3296,LICEN,"KFXD, KBKK, KFXD",Ada,16001,NEWS/TALK,FOX TALK RADIO,EX-KBBK/KFXD //K298CN 107.5
580,WILL,IL,URBANA,5000.0,100.0,,,40.0809,-88.2362,LICEN,,Champaign,17019,NEWS/TALK,NPR IL PUBLIC MEDIA,
580,WIBW,KS,TOPEKA,5000.0,5000.0,,,39.0847,-95.783,LICEN,,Shawnee,20177,NEWS/TALK/SPORTS,NBC FOX NEWSTALK,//K285GL 104.9
580,KJMJ,LA,ALEXANDRIA,5000.0,1000.0,,,31.3085,-92.416,LICEN,"KALB, KLBG",Rapides,22079,RELIGION,RADIO MARIA,EX-KALB/KLBG //KNIR 1360
580,WTAG,MA,WORCESTER,5000.0,5000.0,,,42.337,-71.8204,LICEN,,Worcester,25027,NEWS/TALK,FOX NEWSRADIO,//W235AV 94.9
