callsign,frequency,site,state,county_state,latitude,longitude,county,county_label,county_geoid
WXM65,162.525,Plant Hatch,GA,GA,31.929722,-82.345,Appling,Appling County,13001
WXM66,162.500,San Bernardino National Forest,CA,CA,34.232361,-117.234694,San Bernardino,San Bernardino County,06071
WXM68,162.425,Leyden,MA,MA,42.6981,-72.605,Franklin,Franklin County,25011
WXM69,162.525,Moon Ridge,KY,OH,38.893056,-83.255,Scioto,Scioto County,39145
WXM70,162.500,Milwood,OH,WV,38.97575,-81.532722,Wirt,Wirt County,54105
WXM71,162.550,Flat Top,VA,WV,37.590556,-81.115,Mercer,Mercer County,54055
WXM72,162.425,Keeney Mtn.,VA,WV,37.77359,-80.7055,Summers,Summers County,54089
WXM73,162.400,Branch Mtn.,MD,WV,38.9825,-78.908611,Hardy,Hardy County,54031
WXM74,162.450,Flatwood Mountain,WV,WV,38.7114,-80.681944,Braxton,Braxton County,54007
WXM75,162.475,Horsepen Mtn.,VA,WV,37.641389,-81.993889,Logan,Logan County,54045
WXM77,162.525,Mars Hill,ME,ME,46.551288,-67.809185,Aroostook,Aroostook County,23003
WXM78,162.450,Indiana University,IN,IN,39.164167,-86.521111,Monroe,Monroe County,18105
WXM80,162.475,Riverhead,CT,NY,40.8825,-72.715278,Suffolk,Suffolk County,36103
WXM81,162.450,Lake PomDeTerre,MO,MO,37.905444,-93.317028,Hickory,Hickory County,29085
WXM85,162.400,Mount Alutom,GU,GU,13.4333,144.7125,Guam,Guam,66010
WXM86,162.550,Mount Tapochau,MP,MP,15.1865,145.743819,Saipan,Saipan Municipality,69110
WXM87,162.475,Wray,CO,CO,40.054167,-102.225556,Yuma,Yuma County,08125
WXM89,162.550,Navajo Mountain,AZ,UT,37.034444,-110.868611,San Juan,San Juan County,49037
WXM90,162.525,Jacksonville,IL,IL,39.6667,-90.341667,Morgan,Morgan County,17137
WXM91,162.500,Park Falls,WI,WI,45.945278,-90.274444,Price,Price County,55099
WXM92,162.450,Black Hollow,CO,CO,40.570302,-105.079238,Larimer,Larimer County,08069
WXM93,162.475,Cross,SC,SC,33.3686,-80.116434,Berkeley,Berkeley County,45015
WXM94,162.475,Wellsboro,PA,PA,41.737033,-77.363552,Tioga,Tioga County,42117
WXM95,162.525,Troy,NY,PA,41.810556,-76.716944,Bradford,Bradford County,42015
WXM97,162.400,Haines,AK,AK,59.247378,-135.435426,Haines,Haines Borough,02100
WXM98,162.450,Marion,IN,IN,40.5969,-85.6558,Grant,Grant County,18053
